Liability / Asset,Currency of Issue (all figures in AUD equivalent),Category,Instrument,date,value
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-06-30,-21531320
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-07-31,-21063473
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-08-31,-20377906
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-09-30,-20737062
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-10-31,-19727617
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-11-30,-19490449
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-12-31,-19676493
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-01-31,-19289577
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-02-29,-19411401
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-03-31,-19290363
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-04-30,-18304805
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-05-31,-18662879
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-06-30,-19126108
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-07-31,-19767095
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-08-31,-20045316
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-09-30,-20191467
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-10-31,-20375277
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-11-30,-20692563
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-12-31,-20211379
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-01-31,-20054579
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-02-28,-19999574
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-03-31,-19741588
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-04-30,-20063468
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-05-31,-20110510
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-06-30,-19961346
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-07-31,-20342976
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-08-31,-20670742
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-09-30,-20081177
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-10-31,-19971991
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-11-30,-20172382
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-12-31,-20346479
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-01-31,-20574477
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-02-28,-20910568
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-03-31,-20789004
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-04-30,-20447715
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-05-31,-20432116
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-06-30,-20035509
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-07-31,-19956583
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-08-31,-20216713
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-09-30,-20463963
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-10-31,-20571156
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-11-30,-20731344
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-12-31,-20438361
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-01-31,-20313508
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-02-28,-20561612
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-03-31,-20162766
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-04-30,-20080136
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-05-31,-19715121
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-06-30,-19115248
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-07-31,-19066028
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-08-31,-19240121
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-09-30,-19875177
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-10-31,-20033256
