period,group,name,value
2016-07-31,tenor,0-2 years,19186.3065
2016-07-31,tenor,2-5 years,23060.2975
2016-07-31,tenor,5-9 years,19103.615
2016-07-31,tenor,9-12 years,13595.896
2016-07-31,tenor,12+ years,8778.081
2016-07-31,tenor,Total,83724.196
2016-08-31,tenor,0-2 years,15603.9295
2016-08-31,tenor,2-5 years,17880.0225
2016-08-31,tenor,5-9 years,12973.967
2016-08-31,tenor,9-12 years,14542.916
2016-08-31,tenor,12+ years,5861.2965
2016-08-31,tenor,Total,66862.1315
2016-09-30,tenor,0-2 years,13093.0495
2016-09-30,tenor,2-5 years,42211.639
2016-09-30,tenor,5-9 years,28152.185
2016-09-30,tenor,9-12 years,23424.6645
2016-09-30,tenor,12+ years,7960.015
2016-09-30,tenor,Total,114841.553
2016-10-31,tenor,0-2 years,14085.942
2016-10-31,tenor,2-5 years,30932.3455
2016-10-31,tenor,5-9 years,19098.3825
2016-10-31,tenor,9-12 years,16708.9445
2016-10-31,tenor,12+ years,11826.099
2016-10-31,tenor,Total,92651.7135
2016-11-30,tenor,0-2 years,16776.0015
2016-11-30,tenor,2-5 years,28086.0575
2016-11-30,tenor,5-9 years,19521.477
2016-11-30,tenor,9-12 years,17811.0895
2016-11-30,tenor,12+ years,10190.495
2016-11-30,tenor,Total,92385.1205
2016-12-31,tenor,0-2 years,10486.1375
2016-12-31,tenor,2-5 years,30207.4395
2016-12-31,tenor,5-9 years,18223.304
2016-12-31,tenor,9-12 years,28407.777
2016-12-31,tenor,12+ years,5193.065
2016-12-31,tenor,Total,92517.723
2017-01-31,tenor,0-2 years,14771.869
2017-01-31,tenor,2-5 years,27144.0025
2017-01-31,tenor,5-9 years,18023.477
2017-01-31,tenor,9-12 years,15048.187
2017-01-31,tenor,12+ years,5444.7685
2017-01-31,tenor,Total,80432.304
2017-02-28,tenor,0-2 years,17112.572
2017-02-28,tenor,2-5 years,30863.0455
2017-02-28,tenor,5-9 years,14043.4735
2017-02-28,tenor,9-12 years,32340.206
2017-02-28,tenor,12+ years,9276.3285
2017-02-28,tenor,Total,103635.6255
2017-03-31,tenor,0-2 years,17428.438
2017-03-31,tenor,2-5 years,31354.1465
2017-03-31,tenor,5-9 years,18422.2325
2017-03-31,tenor,9-12 years,23390.7915
2017-03-31,tenor,12+ years,12400.9675
2017-03-31,tenor,Total,102996.576
2017-04-30,tenor,0-2 years,11731.6775
2017-04-30,tenor,2-5 years,21224.809
2017-04-30,tenor,5-9 years,16200.971
2017-04-30,tenor,9-12 years,14134.558
2017-04-30,tenor,12+ years,7673.0425
2017-04-30,tenor,Total,70965.058
2017-05-31,tenor,0-2 years,11497.219
2017-05-31,tenor,2-5 years,28742.069
2017-05-31,tenor,5-9 years,16379.815
2017-05-31,tenor,9-12 years,13816.205
2017-05-31,tenor,12+ years,6161.938
2017-05-31,tenor,Total,76597.246
2017-06-30,tenor,0-2 years,13187.538
2017-06-30,tenor,2-5 years,25351.175
2017-06-30,tenor,5-9 years,26836.253
2017-06-30,tenor,9-12 years,29268.551
2017-06-30,tenor,12+ years,8559.916
2017-06-30,tenor,Total,103203.433
2017-07-31,tenor,0-2 years,18607.1235
2017-07-31,tenor,2-5 years,36221.318
2017-07-31,tenor,5-9 years,22586.319
2017-07-31,tenor,9-12 years,25249.79
2017-07-31,tenor,12+ years,8038.0285
2017-07-31,tenor,Total,110702.579
2017-08-31,tenor,0-2 years,6723.1535
2017-08-31,tenor,2-5 years,26246.0085
2017-08-31,tenor,5-9 years,18784.716
2017-08-31,tenor,9-12 years,21564.284
2017-08-31,tenor,12+ years,3745.4255
2017-08-31,tenor,Total,77063.5875
2017-09-30,tenor,0-2 years,12817.2775
2017-09-30,tenor,2-5 years,40748.2285
2017-09-30,tenor,5-9 years,24956.1715
2017-09-30,tenor,9-12 years,35528.801
2017-09-30,tenor,12+ years,7108.622
2017-09-30,tenor,Total,121159.1005
2017-10-31,tenor,0-2 years,20932.26
