Quarter,42643,42735,42825,date,value
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,42916,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43008,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43100,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43190,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43281,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43373,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43465,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43555,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43646,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43738,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43830,NA
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,43921,21627.5
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44012,25362.331999999999
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44104,12258.55
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44196,35218
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44286,51923
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44377,45426
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44469,49326
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44561,37550
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44651,16139
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44742,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44834,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,44926,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,45016,0
Reserve Bank of Australia,Reserve Bank of Australia,42735,42735,45107,0
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,42916,70165.464999999997
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43008,88750.385999999999
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43100,71135.415999999997
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43190,101093.552
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43281,78944.179999999993
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43373,76462.506500000003
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43465,70057.824500000002
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43555,95467.917000000001
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43646,66570.984500000006
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43738,83693.221999999994
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43830,99970.211500000005
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,43921,139610.01550000001
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44012,118715.83349999999
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44104,144600.8995
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44196,123047.632
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44286,134814.011
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44377,102657.8795
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44469,62200.0095
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44561,81889.634999999995
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44651,86788.441999999995
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44742,113026.11199999999
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44834,109985.341
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,44926,100197.87300000001
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,45016,122948.8265
Interbank,75268.297500000001,81228.660999999993,75542.642500000002,45107,108372.40700000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,42916,18726.475999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43008,35389.1
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43100,15338.666999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43190,39440.521000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43281,24709.460999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43373,25011.843000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43465,17075.614000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43555,37679.762000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43646,21029.937000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43738,24284.916000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43830,29173.856
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,43921,34544.660000000003
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44012,31880.25
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44104,53969.957999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44196,31483.223000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44286,30452.471000000001
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44377,31749.758000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44469,19521.350999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44561,36697.197999999997
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44651,14838.239
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44742,27254.571
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44834,17189.803
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,44926,19397.455000000002
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,45016,22611.407999999999
Bank balance sheet,24873.451000000001,24054.477999999999,33501.110999999997,45107,19682.691999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,42916,48883.98
Other domestic,52079.567999999999,59314.84,56745.224000000002,43008,50948.002
Other domestic,52079.567999999999,59314.84,56745.224000000002,43100,45449.805999999997
Other domestic,52079.567999999999,59314.84,56745.224000000002,43190,59328.745000000003
Other domestic,52079.567999999999,59314.84,56745.224000000002,43281,63902.837
Other domestic,52079.567999999999,59314.84,56745.224000000002,43373,67524.864000000001
Other domestic,52079.567999999999,59314.84,56745.224000000002,43465,66863.546000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,43555,80300.385999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,43646,64199.512000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,43738,61865.267
Other domestic,52079.567999999999,59314.84,56745.224000000002,43830,63210.622000000003
Other domestic,52079.567999999999,59314.84,56745.224000000002,43921,80141.748000000007
Other domestic,52079.567999999999,59314.84,56745.224000000002,44012,78553.842999999993
Other domestic,52079.567999999999,59314.84,56745.224000000002,44104,83370.607999999993
Other domestic,52079.567999999999,59314.84,56745.224000000002,44196,86381.56
Other domestic,52079.567999999999,59314.84,56745.224000000002,44286,78931.258000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,44377,68889.020999999993
Other domestic,52079.567999999999,59314.84,56745.224000000002,44469,48379.491000000002
Other domestic,52079.567999999999,59314.84,56745.224000000002,44561,49207.356
Other domestic,52079.567999999999,59314.84,56745.224000000002,44651,42151.495999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,44742,74475.400999999998
Other domestic,52079.567999999999,59314.84,56745.224000000002,44834,56186.144
Other domestic,52079.567999999999,59314.84,56745.224000000002,44926,43913.781999999999
Other domestic,52079.567999999999,59314.84,56745.224000000002,45016,40086.828999999998
Other domestic,52079.567999999999,59314.84,56745.224000000002,45107,59298.722000000002
Japan,16552.227999999999,13825.879000000001,11397.135,42916,17083.800999999999
Japan,16552.227999999999,13825.879000000001,11397.135,43008,13960.21
