Month,42582,42613,42643,date,value
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42674,14085.941999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42704,16776.001499999998
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42735,10486.137500000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42766,14771.869000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42794,17112.572
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42825,17428.437999999998
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42855,11731.6775
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42886,11497.218999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42916,13187.538
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42947,18607.123500000002
0-2 years,19186.306499999999,15603.9295,13093.049499999999,42978,6723.1535000000003
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43008,12817.2775
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43039,20932.259999999998
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43069,16629.827499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43100,14821.781499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43131,31466.772499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43159,16337.347
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43190,19926.741999999998
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43220,14924.106
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43251,21938.824499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43281,14654.011500000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43312,9369.0470000000005
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43343,11463.710499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43373,21569.517
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43404,22640.7255
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43434,16192.1855
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43465,15861.0005
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43496,22285.9375
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43524,16115.7215
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43555,22145.221000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43585,18234.447
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43616,22216.433000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43646,14798.0445
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43677,15672.933000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43708,12939.189
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43738,16961.083999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43769,20932.68
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43799,16537.056
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43830,20094.946499999998
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43861,23194.582999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43890,13125.78
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43921,24413.4205
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43951,16362.1705
0-2 years,19186.306499999999,15603.9295,13093.049499999999,43982,12674.557000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44012,13219.066000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44043,8828.6144999999997
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44074,12592.826999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44104,9427.8700000000008
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44135,8376.9465
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44165,12554.8735
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44196,13110.012000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44227,8864.9110000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44255,15204.7435
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44286,9681.9524999999994
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44316,11334.5625
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44347,16917.268
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44377,8172.6475
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44408,8450.4269999999997
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44439,7837.1760000000004
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44469,5209.4009999999998
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44500,10897.141
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44530,11745.7405
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44561,11743.604499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44592,11102.94
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44620,9824.1959999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44651,11377.032499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44681,13236.031999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44712,13744.353999999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44742,12093.207
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44773,11008.432500000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44804,11047.0095
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44834,7123.5874999999996
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44865,11136.817499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44895,21826.145499999999
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44926,6969.6175000000003
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44957,7726.7610000000004
0-2 years,19186.306499999999,15603.9295,13093.049499999999,44985,12551.1605
0-2 years,19186.306499999999,15603.9295,13093.049499999999,45016,12608.932000000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,45046,12285.867
0-2 years,19186.306499999999,15603.9295,13093.049499999999,45077,19542.514500000001
0-2 years,19186.306499999999,15603.9295,13093.049499999999,45107,11143.789500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42674,30932.345499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42704,28086.057499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42735,30207.4395
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42766,27144.002499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42794,30863.0455
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42825,31354.146499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42855,21224.809000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42886,28742.069
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42916,25351.174999999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42947,36221.317999999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,42978,26246.0085
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43008,40748.228499999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43039,26695.121500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43069,21586.4005
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43100,23171.14
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43131,42161.394
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43159,35218.467499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43190,38931.366999999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43220,23078.859
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43251,43850.472999999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43281,30909.768499999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43312,29096.539499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43343,27061.485499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43373,40321.428999999996
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43404,31519.434000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43434,22464.101500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43465,28876.168000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43496,40211.506000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43524,26671.163499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43555,40876.855499999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43585,32751.3665
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43616,29451.165000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43646,23771.193500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43677,18356.230500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43708,21219.417000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43738,28365.537499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43769,27898.696
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43799,31592.972000000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43830,28548.05
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43861,28713.536499999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43890,34109.226499999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43921,49274.703000000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43951,47431.805500000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,43982,47132.519500000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44012,35413.093999999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44043,27560.746999999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44074,56358.326999999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44104,58159.620999999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44135,30437.371500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44165,53990.036999999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44196,42980.218999999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44227,26170.287
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44255,65781.763999999996
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44286,73838.676999999996
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44316,34311.125999999997
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44347,44936.9375
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44377,49352.866999999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44408,42719.38
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44439,29154.17
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44469,46030.677000000003
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44500,51293.568500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44530,47891.532500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44561,38405.604500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44592,40902.461000000003
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44620,39316.834999999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44651,39716.660499999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44681,30559.018499999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44712,43381.981500000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44742,54071.678
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44773,27363.348000000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44804,43004.845999999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44834,32355.782500000001
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44865,22478.116999999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44895,35817.910499999998
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44926,36636.895499999999
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44957,23160.391500000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,44985,27510.177500000002
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,45016,50193.5435
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,45046,14627.089
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,45077,32862.283000000003
2-5 years,23060.297500000001,17880.022499999999,42211.639000000003,45107,38428.711499999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42674,19098.3825
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42704,19521.476999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42735,18223.304
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42766,18023.476999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42794,14043.4735
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42825,18422.232499999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42855,16200.971
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42886,16379.815000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42916,26836.253000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42947,22586.319
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,42978,18784.716
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43008,24956.1715
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43039,20135.357499999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43069,15035.041499999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43100,13503.296
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43131,19733.8495
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43159,27314.843000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43190,21550.3145
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43220,22816.3685
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43251,32217.714
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43281,16687.002499999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43312,15326.4845
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43343,16321.550999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43373,23884.906999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43404,19095.455999999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43434,17766.464
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43465,19006.878000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43496,34028.358
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43524,35320.487000000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43555,27911.9755
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43585,23897.598999999998
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43616,24588.089
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43646,14440.048500000001
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43677,23199.923999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43708,20708.725999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43738,24929.2255
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43769,20916.355
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43799,29389.488499999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43830,21457.601999999999
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43861,42878.959499999997
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43890,43568.5245
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43921,52742.55
5-9 years,19103.615000000002,12973.967000000001,28152.185000000001,43951,35111.572
