period,group,name,value
2016-07-31,tenor,0-5 years,2866.6355
2016-07-31,tenor,5-10 years,2095.8165
2016-07-31,tenor,10-20 years,1219.082
2016-07-31,tenor,20+ years,36.759
2016-07-31,tenor,Total,6218.293
2016-08-31,tenor,0-5 years,1857.1245
2016-08-31,tenor,5-10 years,1287.2095
2016-08-31,tenor,10-20 years,677.851
2016-08-31,tenor,20+ years,43.81
2016-08-31,tenor,Total,3865.995
2016-09-30,tenor,0-5 years,1095.861
2016-09-30,tenor,5-10 years,1046.656
2016-09-30,tenor,10-20 years,243.195
2016-09-30,tenor,20+ years,64.3965
2016-09-30,tenor,Total,2450.1085
2016-10-31,tenor,0-5 years,1215.992
2016-10-31,tenor,5-10 years,1483.9635
2016-10-31,tenor,10-20 years,639.74
2016-10-31,tenor,20+ years,136.607
2016-10-31,tenor,Total,3476.3025
2016-11-30,tenor,0-5 years,1352.1545
2016-11-30,tenor,5-10 years,1433.016
2016-11-30,tenor,10-20 years,582.482
2016-11-30,tenor,20+ years,228.2665
2016-11-30,tenor,Total,3595.919
2016-12-31,tenor,0-5 years,771.242
2016-12-31,tenor,5-10 years,1552.2085
2016-12-31,tenor,10-20 years,552.608
2016-12-31,tenor,20+ years,100.88
2016-12-31,tenor,Total,2976.9385
2017-01-31,tenor,0-5 years,612.0075
2017-01-31,tenor,5-10 years,879.329
2017-01-31,tenor,10-20 years,272.097
2017-01-31,tenor,20+ years,34.154
2017-01-31,tenor,Total,1797.5875
2017-02-28,tenor,0-5 years,1411.775
2017-02-28,tenor,5-10 years,1405.489
2017-02-28,tenor,10-20 years,723.6635
2017-02-28,tenor,20+ years,689.2825
2017-02-28,tenor,Total,4230.21
2017-03-31,tenor,0-5 years,1301.634
2017-03-31,tenor,5-10 years,940.31
2017-03-31,tenor,10-20 years,972.512
2017-03-31,tenor,20+ years,384.8695
2017-03-31,tenor,Total,3599.3255
2017-04-30,tenor,0-5 years,1083.5265
2017-04-30,tenor,5-10 years,442.9075
2017-04-30,tenor,10-20 years,748.1795
2017-04-30,tenor,20+ years,180.1795
2017-04-30,tenor,Total,2454.793
2017-05-31,tenor,0-5 years,2663.0415
2017-05-31,tenor,5-10 years,1026.479
2017-05-31,tenor,10-20 years,492.507
2017-05-31,tenor,20+ years,63.846
2017-05-31,tenor,Total,4245.8735
2017-06-30,tenor,0-5 years,1456.909
2017-06-30,tenor,5-10 years,762.0385
2017-06-30,tenor,10-20 years,522.4775
2017-06-30,tenor,20+ years,107.8515
2017-06-30,tenor,Total,2849.2765
2017-07-31,tenor,0-5 years,1508.0925
2017-07-31,tenor,5-10 years,1222.371
2017-07-31,tenor,10-20 years,605.8565
2017-07-31,tenor,20+ years,219.304
2017-07-31,tenor,Total,3555.624
2017-08-31,tenor,0-5 years,3557.93
2017-08-31,tenor,5-10 years,1281.4885
2017-08-31,tenor,10-20 years,1540.3265
2017-08-31,tenor,20+ years,122.107
2017-08-31,tenor,Total,6501.852
2017-09-30,tenor,0-5 years,1680.1175
2017-09-30,tenor,5-10 years,1501.3055
2017-09-30,tenor,10-20 years,2202.0965
2017-09-30,tenor,20+ years,108.3455
2017-09-30,tenor,Total,5491.865
2017-10-31,tenor,0-5 years,935.2835
2017-10-31,tenor,5-10 years,990.44
2017-10-31,tenor,10-20 years,1135.479
2017-10-31,tenor,20+ years,175.558
2017-10-31,tenor,Total,3236.7605
2017-11-30,tenor,0-5 years,2055.8155
2017-11-30,tenor,5-10 years,1117.2285
2017-11-30,tenor,10-20 years,1057.789
2017-11-30,tenor,20+ years,54.398
2017-11-30,tenor,Total,4285.231
2017-12-31,tenor,0-5 years,1342.628
2017-12-31,tenor,5-10 years,1291.7555
2017-12-31,tenor,10-20 years,493.577
2017-12-31,tenor,20+ years,105.639
2017-12-31,tenor,Total,3233.5995
2018-01-31,tenor,0-5 years,1200.4155
2018-01-31,tenor,5-10 years,989.1885
2018-01-31,tenor,10-20 years,583.9595
2018-01-31,tenor,20+ years,61.6305
2018-01-31,tenor,Total,2835.194
2018-02-28,tenor,0-5 years,942.909
2018-02-28,tenor,5-10 years,1476.1695
2018-02-28,tenor,10-20 years,799.2855
2018-02-28,tenor,20+ years,108.96
