Liability / Asset,Currency of Issue (all figures in AUD equivalent),Funding Group,Instrument,date,value
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-06-30,-49807298082
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-06-30,-47736930048
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-06-30,-48382676348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-06-30,-48003295000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-06-30,-47199443000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-06-30,-49395141000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-06-30,-78403136000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-06-30,-124695087000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-06-30,-161242900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2012-06-30,-205387900000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2013-06-30,-233539500000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2014-06-30,-290936151000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2015-06-30,-335186219000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2016-06-30,-385219783000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2017-06-30,-464043805000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2018-06-30,-493183934000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2019-06-30,-502249285000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2020-06-30,-587155109000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2021-06-30,-750909775000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2022-06-30,-830511750000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-06-30,-823849369000
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2023-08-31,-830049369000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2003-06-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2004-06-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2005-06-30,-6551793000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2006-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2007-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2008-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2009-06-30,-6020000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2010-06-30,-11415265000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2011-06-30,-13929000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2012-06-30,-16069000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2013-06-30,-18319000000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2014-06-30,-23531353000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2015-06-30,-27530819000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2016-06-30,-30179141000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2017-06-30,-33429002000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2018-06-30,-36246706000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2019-06-30,-36736790000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2020-06-30,-38386553000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2021-06-30,-38825548000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2022-06-30,-37235372000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2023-06-30,-39435297000
LIABILITY,AUD,Main Funding Instruments,Treasury Indexed Bonds (Capital Indexed),2023-08-31,-39885189000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2003-06-30,0
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2004-06-30,0
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2005-06-30,0
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2006-06-30,0
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2007-06-30,0
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2008-06-30,0
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2009-06-30,-16700000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2010-06-30,-11000000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2011-06-30,-16100000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2012-06-30,-12500000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2013-06-30,-5500000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2014-06-30,-5000000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2015-06-30,-6000000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2016-06-30,-5000000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2017-06-30,-3500000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2018-06-30,-2500000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2019-06-30,-3000000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2020-06-30,-58750000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2021-06-30,-27250000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2022-06-30,-27500000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2023-06-30,-26500000000
LIABILITY,AUD,Main Funding Instruments,Treasury Notes,2023-08-31,-28340000000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2003-06-30,-56359091082
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2004-06-30,-54288723048
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2005-06-30,-54934469348
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2006-06-30,-54023295000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2007-06-30,-53219443000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2008-06-30,-55415141000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2009-06-30,-101123136000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2010-06-30,-147110352000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2011-06-30,-191271900000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2012-06-30,-233956900000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2013-06-30,-257358500000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2014-06-30,-319467504000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2015-06-30,-368717038000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2016-06-30,-420398924000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2017-06-30,-500972807000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2018-06-30,-531930640000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2019-06-30,-541986075000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2020-06-30,-684291662000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2021-06-30,-816985323000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2022-06-30,-895247122000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2023-06-30,-889784666000
LIABILITY,AUD,Main Funding Instruments,Total AUD Main Funding Instruments,2023-08-31,-898274558000
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2003-06-30,-52000
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2004-06-30,-52000
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2005-06-30,-52000
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2006-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2007-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2008-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2009-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2010-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2011-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2012-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2013-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2014-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2015-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2016-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2017-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2018-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2019-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2020-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2021-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2022-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2023-06-30,0
LIABILITY,AUD,Other Funding Instruments,Treasury Indexed Bonds (Interest Indexed),2023-08-31,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2003-06-30,-52000
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2004-06-30,-52000
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2005-06-30,-52000
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2006-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2007-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2008-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2009-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2010-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2011-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2012-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2013-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2014-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2015-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2016-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2017-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2018-06-30,0
LIABILITY,AUD,Other Funding Instruments,Total AUD Other Funding Instruments,2019-06-30,0
