Liability / Asset,Currency of Issue (all figures in AUD equivalent),Category,Instrument,date,value
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-06-30,-3.88212120653026
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-07-31,-3.82714744700465
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-08-31,-4.14294055019687
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-09-30,-4.19338000992284
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-10-31,-4.06184880744156
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-11-30,-4.03616442516882
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-12-31,-4.00971600337343
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-01-31,-3.93795225323428
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-02-29,-3.92739932429823
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-03-31,-3.8768312210136
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-04-30,-3.74333681032905
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-05-31,-3.75684184898391
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-06-30,-3.76324539854937
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-07-31,-3.81097376983885
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-08-31,-3.80004711947748
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-09-30,-4.18997776663431
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-10-31,-4.19460677001353
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-11-30,-4.21352357046727
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-12-31,-4.13303617983317
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-01-31,-4.0502886368838
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-02-28,-4.00457646587354
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-03-31,-3.93576004537542
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-04-30,-3.92396231399038
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-05-31,-3.89252790832919
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-06-30,-3.83183265951478
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-07-31,-4.24932317811101
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-08-31,-4.2510340557325
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-09-30,-4.15710756830993
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-10-31,-4.12221955874701
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-11-30,-4.13666503128575
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-12-31,-4.08992935132972
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-01-31,-4.07098608475
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-02-28,-4.20418639113862
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-03-31,-4.16833589089618
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-04-30,-4.12431402849102
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-05-31,-4.10235793979931
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-06-30,-4.0296153398844
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-07-31,-3.97855842278737
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-08-31,-3.99396248342714
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-09-30,-3.99962190511336
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-10-31,-3.99341611373146
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-11-30,-4.52566030827691
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-12-31,-4.42822710799705
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-01-31,-4.32981565343721
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-02-28,-4.33128438785079
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-03-31,-4.2595604650878
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-04-30,-4.21110352905052
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-05-31,-4.12442355867527
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-06-30,-4.03111447796184
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-07-31,-3.97462888554816
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-08-31,-3.94495835077168
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-09-30,-4.00825819645915
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-10-31,-4.28429857105897
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-11-30,-4.21018370014467
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-12-31,-4.14420273340553
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-01-31,-4.08653365411522
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-02-29,-4.07333031963868
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-03-31,-4.03564029172348
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-04-30,-3.94722074140273
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-05-31,-3.8549687823855
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-06-30,-3.83769114505582
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-07-31,-3.80974577374068
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-08-31,-4.25054615840124
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-09-30,-4.30969219533251
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-10-31,-4.27997406658871
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-11-30,-4.30696655831153
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-12-31,-4.32993565213609
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-01-31,-4.26403762614663
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-02-28,-4.26159838122984
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-03-31,-4.18914676903256
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-04-30,-4.3004095644902
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-05-31,-4.22216091099536
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-06-30,-4.0402156262409
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-07-31,-3.98747720639048
