Liability / Asset,Currency of Issue (all figures in AUD equivalent),Category,Instrument,date,value
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-06-30,-55462771136
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-07-31,-55037004170
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-08-31,-49187058692
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-09-30,-49451902644
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-10-31,-48568073149
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-11-30,-48289531711
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2003-12-31,-49072036482
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-01-31,-48983775728
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-02-29,-49425585221
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-03-31,-49758067608
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-04-30,-48899700795
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-05-31,-49677041915
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-06-30,-50823440872
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-07-31,-51868882322
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-08-31,-52750177484
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-09-30,-48189914421
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-10-31,-48574939481
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-11-30,-49109878357
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2004-12-31,-48902013243
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-01-31,-49513950234
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-02-28,-49941795769
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-03-31,-50159531507
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-04-30,-51130633769
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-05-31,-51664395153
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-06-30,-52093470080
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-07-31,-47873449835
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-08-31,-48625209135
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-09-30,-48305646823
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-10-31,-48449605159
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-11-30,-48765014378
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2005-12-31,-49747751739
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-01-31,-50539295816
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-02-28,-49737490336
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-03-31,-49873629535
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-04-30,-49578462888
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-05-31,-49805785599
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-06-30,-49720649020
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-07-31,-50160336683
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-08-31,-50618184532
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-09-30,-51164743782
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-10-31,-51512678404
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-11-30,-45808440289
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2006-12-31,-46154726263
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-01-31,-46915410784
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-02-28,-47472320353
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-03-31,-47335320546
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-04-30,-47683786118
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-05-31,-47800912587
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-06-30,-47419263592
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-07-31,-47969328833
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-08-31,-48771417311
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-09-30,-49585570654
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-10-31,-46760442295
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-11-30,-47855743205
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2007-12-31,-47690084852
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-01-31,-48695375309
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-02-29,-48602041687
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-03-31,-48990867795
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-04-30,-48827862090
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-05-31,-48324736338
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-06-30,-48909574248
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-07-31,-50539339602
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-08-31,-47538674666
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-09-30,-49944613268
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-10-31,-52856191762
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-11-30,-55227665871
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2008-12-31,-57656852216
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-01-31,-59379476027
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-02-28,-61676056989
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-03-31,-67186447554
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-04-30,-72473701813
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-05-31,-76080507684
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-06-30,-81263873113
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-07-31,-85344098368
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-08-31,-91321425369
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-09-30,-89966799484
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-10-31,-91736603263
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-11-30,-98310733073
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2009-12-31,-99564852679
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-01-31,-103362979299
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-02-28,-108516018968
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-03-31,-113356903678
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-04-30,-117791122150
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-05-31,-125318193079
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-06-30,-130252724427
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-07-31,-134340621826
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-08-31,-133642820818
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-09-30,-137767759654
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-10-31,-141282618651
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-11-30,-145061400326
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2010-12-31,-146471807621
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-01-31,-150316973912
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-02-28,-155234835830
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-03-31,-160708075331
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-04-30,-164523079367
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-05-31,-171222655097
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-06-30,-166082689241
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-07-31,-174736846976
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-08-31,-185677232146
LIABILITY,AUD,Main Funding Instruments,Treasury Bonds,2011-09-30,-192956425178
