Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Bonds,37817,5.25,2003-06-30,-0.0387105052981092
LIABILITY,AUD,Treasury Bonds,37817,6.5,2003-06-30,-0.0367480513510588
LIABILITY,AUD,Treasury Bonds,37817,5.25,2003-06-30,0.0383394819893301
LIABILITY,AUD,Treasury Bonds,37817,6.5,2003-06-30,0.0372975510866751
LIABILITY,AUD,Treasury Bonds,37848,9.5,2003-06-30,-0.122589215750656
LIABILITY,AUD,Treasury Bonds,37848,9.5,2003-07-31,-0.0382902904108417
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-06-30,-0.610962853399837
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-07-31,-0.526774452246338
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-08-31,-0.460774085203741
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-09-30,-0.373707574761862
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-10-31,-0.289765996441282
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-11-30,-0.213914870704523
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-12-31,-0.125082578074217
LIABILITY,AUD,Treasury Bonds,38032,5.25,2004-01-31,-0.0437183879745209
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-06-30,0.610946230584164
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-07-31,0.526832697551369
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-08-31,0.460694722833497
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-09-30,0.373721165974656
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-10-31,0.289768996302959
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-11-30,0.21393892825052
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-12-31,0.125126141539267
LIABILITY,AUD,Treasury Bonds,38032,5.25,2004-01-31,0.0437086202013807
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-06-30,-0.858038397696757
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-07-31,-0.772792034503122
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-08-31,-0.693682431442111
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-09-30,-0.607493143158449
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-10-31,-0.523941168501267
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-11-30,-0.459933212089978
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-12-31,-0.370094041432296
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-01-31,-0.289502108718404
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-02-29,-0.214386767133732
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-03-31,-0.126012214289806
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-04-30,-0.0437602058817513
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-06-30,0.858227659963778
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-07-31,0.774071885139481
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-08-31,0.69496271900908
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-09-30,0.608251656423831
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-10-31,0.524432282946033
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-11-30,0.460622930303533
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-12-31,0.371600458902593
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-01-31,0.290373494922254
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-02-29,0.21489324947483401
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-03-31,0.126019154023953
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-04-30,0.0444804909892099
LIABILITY,AUD,Treasury Bonds,38245,9,2003-06-30,-1.1108196051004
LIABILITY,AUD,Treasury Bonds,38245,9,2003-07-31,-1.01681555176467
LIABILITY,AUD,Treasury Bonds,38245,9,2003-08-31,-0.92303921192134
LIABILITY,AUD,Treasury Bonds,38245,9,2003-09-30,-0.959805564093529
LIABILITY,AUD,Treasury Bonds,38245,9,2003-10-31,-0.766680238481542
LIABILITY,AUD,Treasury Bonds,38245,9,2003-11-30,-0.765191595867857
LIABILITY,AUD,Treasury Bonds,38245,9,2003-12-31,-0.665537594836928
LIABILITY,AUD,Treasury Bonds,38245,9,2004-01-31,-0.568286093880713
LIABILITY,AUD,Treasury Bonds,38245,9,2004-02-29,-0.565858253637657
LIABILITY,AUD,Treasury Bonds,38245,9,2004-03-31,-0.45225699881239
LIABILITY,AUD,Treasury Bonds,38245,9,2004-04-30,-0.37123719754008
LIABILITY,AUD,Treasury Bonds,38245,9,2004-05-31,-0.286923625407447
LIABILITY,AUD,Treasury Bonds,38245,9,2004-06-30,-0.205953135983857
LIABILITY,AUD,Treasury Bonds,38245,9,2004-07-31,-0.125192917652065
LIABILITY,AUD,Treasury Bonds,38245,9,2004-08-31,-0.038277974910575
LIABILITY,AUD,Treasury Bonds,38548,6,2003-06-30,1.85509353214041
LIABILITY,AUD,Treasury Bonds,38548,6,2003-07-31,1.91362597859372
LIABILITY,AUD,Treasury Bonds,38548,6,2003-08-31,1.72408412522741
LIABILITY,AUD,Treasury Bonds,38548,6,2003-09-30,1.71781284050754
LIABILITY,AUD,Treasury Bonds,38548,6,2003-10-31,1.53107981319804
LIABILITY,AUD,Treasury Bonds,38548,6,2003-11-30,1.53382933667804
LIABILITY,AUD,Treasury Bonds,38548,6,2003-12-31,1.42369921850851
LIABILITY,AUD,Treasury Bonds,38548,6,2004-01-31,1.46425463820501
LIABILITY,AUD,Treasury Bonds,38548,6,2004-02-29,1.26025043701547
LIABILITY,AUD,Treasury Bonds,38548,6,2004-03-31,1.15752676008764
LIABILITY,AUD,Treasury Bonds,38548,6,2004-04-30,1.05976115650534
LIABILITY,AUD,Treasury Bonds,38548,6,2004-05-31,1.05419304760035
LIABILITY,AUD,Treasury Bonds,38548,6,2004-06-30,0.95552967292048
LIABILITY,AUD,Treasury Bonds,38548,6,2004-07-31,0.98109120099189
LIABILITY,AUD,Treasury Bonds,38548,6,2004-08-31,0.780617424795238
LIABILITY,AUD,Treasury Bonds,38548,6,2004-09-30,0.679748669878416
LIABILITY,AUD,Treasury Bonds,38548,6,2004-10-31,0.677252734045639
LIABILITY,AUD,Treasury Bonds,38548,6,2004-11-30,0.57826397182367
LIABILITY,AUD,Treasury Bonds,38548,6,2004-12-31,0.513957496593933
LIABILITY,AUD,Treasury Bonds,38548,6,2005-01-31,0.444294240596446
LIABILITY,AUD,Treasury Bonds,38548,6,2005-02-28,0.367658810989363
LIABILITY,AUD,Treasury Bonds,38548,6,2005-03-31,0.283690204764946
LIABILITY,AUD,Treasury Bonds,38548,6,2005-04-30,0.205799323764063
LIABILITY,AUD,Treasury Bonds,38548,6,2005-05-31,0.119721871492295
LIABILITY,AUD,Treasury Bonds,38548,6,2005-06-30,0.0382904462459821
LIABILITY,AUD,Treasury Bonds,38548,7,2003-06-30,1.83595032365154
LIABILITY,AUD,Treasury Bonds,38548,7,2003-07-31,1.90046737370729
LIABILITY,AUD,Treasury Bonds,38548,7,2003-08-31,1.71215608915135
LIABILITY,AUD,Treasury Bonds,38548,7,2003-09-30,1.70538227107202
LIABILITY,AUD,Treasury Bonds,38548,7,2003-10-31,1.51957226972418
LIABILITY,AUD,Treasury Bonds,38548,7,2003-11-30,1.52157497469486
LIABILITY,AUD,Treasury Bonds,38548,7,2003-12-31,1.4116933626129
LIABILITY,AUD,Treasury Bonds,38548,7,2004-01-31,1.45720410315894
