Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Bonds,37817,5.25,2003-06-30,-47407700
LIABILITY,AUD,Treasury Bonds,37817,6.5,2003-06-30,-2904300
LIABILITY,AUD,Treasury Bonds,37817,5.25,2003-06-30,74091200
LIABILITY,AUD,Treasury Bonds,37817,6.5,2003-06-30,4422335
LIABILITY,AUD,Treasury Bonds,37848,9.5,2003-06-30,-5289518000
LIABILITY,AUD,Treasury Bonds,37848,9.5,2003-07-31,-5289518000
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-06-30,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-07-31,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-08-31,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-09-30,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-10-31,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-11-30,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-12-31,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2004-01-31,-66570200
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-06-30,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-07-31,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-08-31,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-09-30,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-10-31,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-11-30,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-12-31,53849005
LIABILITY,AUD,Treasury Bonds,38032,5.25,2004-01-31,53849005
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-06-30,-18532100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-07-31,-18532100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-08-31,-18532100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-09-30,-18532100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-10-31,-18532100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-11-30,-18510100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-12-31,-18510100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-01-31,-18510100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-02-29,-18510100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-03-31,-18510100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-04-30,-18510100
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-06-30,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-07-31,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-08-31,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-09-30,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-10-31,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-11-30,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-12-31,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-01-31,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-02-29,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-03-31,33131026
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-04-30,33131026
LIABILITY,AUD,Treasury Bonds,38245,9,2003-06-30,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2003-07-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2003-08-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2003-09-30,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2003-10-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2003-11-30,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2003-12-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-01-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-02-29,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-03-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-04-30,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-05-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-06-30,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-07-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38245,9,2004-08-31,-4951649000
LIABILITY,AUD,Treasury Bonds,38548,6,2003-06-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2003-07-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2003-08-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2003-09-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2003-10-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2003-11-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2003-12-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-01-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-02-29,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-03-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-04-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-05-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-06-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-07-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-08-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-09-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-10-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-11-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2004-12-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2005-01-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2005-02-28,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2005-03-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2005-04-30,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2005-05-31,97062352
LIABILITY,AUD,Treasury Bonds,38548,6,2005-06-30,97062352
