Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Bonds,37817,5.25,2003-06-30,-188
LIABILITY,AUD,Treasury Bonds,37817,6.5,2003-06-30,-11
LIABILITY,AUD,Treasury Bonds,37817,5.25,2003-06-30,291
LIABILITY,AUD,Treasury Bonds,37817,6.5,2003-06-30,17
LIABILITY,AUD,Treasury Bonds,37848,9.5,2003-06-30,-67539
LIABILITY,AUD,Treasury Bonds,37848,9.5,2003-07-31,-21178
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-06-30,-4165
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-07-31,-3602
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-08-31,-3080
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-09-30,-2507
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-10-31,-1952
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-11-30,-1445
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-12-31,-849
LIABILITY,AUD,Treasury Bonds,38032,5.25,2004-01-31,-298
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-06-30,3369
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-07-31,2914
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-08-31,2491
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-09-30,2028
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-10-31,1579
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-11-30,1169
LIABILITY,AUD,Treasury Bonds,38032,5.25,2003-12-31,687
LIABILITY,AUD,Treasury Bonds,38032,5.25,2004-01-31,241
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-06-30,-1614
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-07-31,-1457
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-08-31,-1311
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-09-30,-1152
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-10-31,-997
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-11-30,-853
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-12-31,-690
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-01-31,-542
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-02-29,-403
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-03-31,-238
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-04-30,-83
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-06-30,2886
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-07-31,2609
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-08-31,2348
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-09-30,2062
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-10-31,1784
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-11-30,1529
LIABILITY,AUD,Treasury Bonds,38122,5.4,2003-12-31,1240
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-01-31,973
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-02-29,723
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-03-31,426
LIABILITY,AUD,Treasury Bonds,38122,5.4,2004-04-30,151
LIABILITY,AUD,Treasury Bonds,38245,9,2003-06-30,-594196
LIABILITY,AUD,Treasury Bonds,38245,9,2003-07-31,-544682
LIABILITY,AUD,Treasury Bonds,38245,9,2003-08-31,-495166
LIABILITY,AUD,Treasury Bonds,38245,9,2003-09-30,-495166
LIABILITY,AUD,Treasury Bonds,38245,9,2003-10-31,-396132
LIABILITY,AUD,Treasury Bonds,38245,9,2003-11-30,-396132
LIABILITY,AUD,Treasury Bonds,38245,9,2003-12-31,-346615
LIABILITY,AUD,Treasury Bonds,38245,9,2004-01-31,-297100
LIABILITY,AUD,Treasury Bonds,38245,9,2004-02-29,-297100
LIABILITY,AUD,Treasury Bonds,38245,9,2004-03-31,-228579
LIABILITY,AUD,Treasury Bonds,38245,9,2004-04-30,-188403
LIABILITY,AUD,Treasury Bonds,38245,9,2004-05-31,-146265
LIABILITY,AUD,Treasury Bonds,38245,9,2004-06-30,-105410
LIABILITY,AUD,Treasury Bonds,38245,9,2004-07-31,-64352
LIABILITY,AUD,Treasury Bonds,38245,9,2004-08-31,-19767
LIABILITY,AUD,Treasury Bonds,38548,6,2003-06-30,19066
LIABILITY,AUD,Treasury Bonds,38548,6,2003-07-31,19084
LIABILITY,AUD,Treasury Bonds,38548,6,2003-08-31,17176
LIABILITY,AUD,Treasury Bonds,38548,6,2003-09-30,17185
LIABILITY,AUD,Treasury Bonds,38548,6,2003-10-31,15283
LIABILITY,AUD,Treasury Bonds,38548,6,2003-11-30,15293
LIABILITY,AUD,Treasury Bonds,38548,6,2003-12-31,14347
LIABILITY,AUD,Treasury Bonds,38548,6,2004-01-31,14360
LIABILITY,AUD,Treasury Bonds,38548,6,2004-02-29,12441
LIABILITY,AUD,Treasury Bonds,38548,6,2004-03-31,11491
LIABILITY,AUD,Treasury Bonds,38548,6,2004-04-30,10538
LIABILITY,AUD,Treasury Bonds,38548,6,2004-05-31,10549
LIABILITY,AUD,Treasury Bonds,38548,6,2004-06-30,9596
LIABILITY,AUD,Treasury Bonds,38548,6,2004-07-31,9605
LIABILITY,AUD,Treasury Bonds,38548,6,2004-08-31,7683
LIABILITY,AUD,Treasury Bonds,38548,6,2004-09-30,6725
LIABILITY,AUD,Treasury Bonds,38548,6,2004-10-31,6730
LIABILITY,AUD,Treasury Bonds,38548,6,2004-11-30,5773
LIABILITY,AUD,Treasury Bonds,38548,6,2004-12-31,5146
LIABILITY,AUD,Treasury Bonds,38548,6,2005-01-31,4337
LIABILITY,AUD,Treasury Bonds,38548,6,2005-02-28,3600
LIABILITY,AUD,Treasury Bonds,38548,6,2005-03-31,2790
LIABILITY,AUD,Treasury Bonds,38548,6,2005-04-30,2034
LIABILITY,AUD,Treasury Bonds,38548,6,2005-05-31,1189
LIABILITY,AUD,Treasury Bonds,38548,6,2005-06-30,382
LIABILITY,AUD,Treasury Bonds,38548,7,2003-06-30,5729
LIABILITY,AUD,Treasury Bonds,38548,7,2003-07-31,5731
LIABILITY,AUD,Treasury Bonds,38548,7,2003-08-31,5158
LIABILITY,AUD,Treasury Bonds,38548,7,2003-09-30,5159
LIABILITY,AUD,Treasury Bonds,38548,7,2003-10-31,4587
LIABILITY,AUD,Treasury Bonds,38548,7,2003-11-30,4588
LIABILITY,AUD,Treasury Bonds,38548,7,2003-12-31,4302
LIABILITY,AUD,Treasury Bonds,38548,7,2004-01-31,4303
LIABILITY,AUD,Treasury Bonds,38548,7,2004-02-29,3729
LIABILITY,AUD,Treasury Bonds,38548,7,2004-03-31,3443
LIABILITY,AUD,Treasury Bonds,38548,7,2004-04-30,3156
LIABILITY,AUD,Treasury Bonds,38548,7,2004-05-31,3157
LIABILITY,AUD,Treasury Bonds,38548,7,2004-06-30,2871
LIABILITY,AUD,Treasury Bonds,38548,7,2004-07-31,2872
LIABILITY,AUD,Treasury Bonds,38548,7,2004-08-31,2297
LIABILITY,AUD,Treasury Bonds,38548,7,2004-09-30,2010
LIABILITY,AUD,Treasury Bonds,38548,7,2004-10-31,2011
LIABILITY,AUD,Treasury Bonds,38548,7,2004-11-30,1724
LIABILITY,AUD,Treasury Bonds,38548,7,2004-12-31,1536
LIABILITY,AUD,Treasury Bonds,38548,7,2005-01-31,1294
LIABILITY,AUD,Treasury Bonds,38548,7,2005-02-28,1074
LIABILITY,AUD,Treasury Bonds,38548,7,2005-03-31,832
LIABILITY,AUD,Treasury Bonds,38548,7,2005-04-30,607
LIABILITY,AUD,Treasury Bonds,38548,7,2005-05-31,355
LIABILITY,AUD,Treasury Bonds,38548,7,2005-06-30,114
LIABILITY,AUD,Treasury Bonds,38548,6,2003-06-30,-9698
LIABILITY,AUD,Treasury Bonds,38548,6,2003-07-31,-9707
LIABILITY,AUD,Treasury Bonds,38548,6,2003-08-31,-8735
LIABILITY,AUD,Treasury Bonds,38548,6,2003-09-30,-8741
LIABILITY,AUD,Treasury Bonds,38548,6,2003-10-31,-7774
LIABILITY,AUD,Treasury Bonds,38548,6,2003-11-30,-6921
LIABILITY,AUD,Treasury Bonds,38548,6,2003-12-31,-6491
LIABILITY,AUD,Treasury Bonds,38548,6,2004-01-31,-6499
LIABILITY,AUD,Treasury Bonds,38548,6,2004-02-29,-5630
LIABILITY,AUD,Treasury Bonds,38548,6,2004-03-31,-5200
LIABILITY,AUD,Treasury Bonds,38548,6,2004-04-30,-4768
LIABILITY,AUD,Treasury Bonds,38548,6,2004-05-31,-4774
LIABILITY,AUD,Treasury Bonds,38548,6,2004-06-30,-4343
LIABILITY,AUD,Treasury Bonds,38548,6,2004-07-31,-4346
LIABILITY,AUD,Treasury Bonds,38548,6,2004-08-31,-3477
LIABILITY,AUD,Treasury Bonds,38548,6,2004-09-30,-3044
LIABILITY,AUD,Treasury Bonds,38548,6,2004-10-31,-3045
LIABILITY,AUD,Treasury Bonds,38548,6,2004-11-30,-2611
LIABILITY,AUD,Treasury Bonds,38548,6,2004-12-31,-2329
LIABILITY,AUD,Treasury Bonds,38548,6,2005-01-31,-1959
LIABILITY,AUD,Treasury Bonds,38548,6,2005-02-28,-1628
LIABILITY,AUD,Treasury Bonds,38548,6,2005-03-31,-1261
LIABILITY,AUD,Treasury Bonds,38548,6,2005-04-30,-921
LIABILITY,AUD,Treasury Bonds,38548,6,2005-05-31,-539
LIABILITY,AUD,Treasury Bonds,38548,6,2005-06-30,-174
LIABILITY,AUD,Treasury Bonds,38548,7,2003-06-30,-3551
LIABILITY,AUD,Treasury Bonds,38548,7,2003-07-31,-3553
LIABILITY,AUD,Treasury Bonds,38548,7,2003-08-31,-3195
LIABILITY,AUD,Treasury Bonds,38548,7,2003-09-30,-3196
LIABILITY,AUD,Treasury Bonds,38548,7,2003-10-31,-2841
LIABILITY,AUD,Treasury Bonds,38548,7,2003-11-30,-2297
LIABILITY,AUD,Treasury Bonds,38548,7,2003-12-31,-2154
LIABILITY,AUD,Treasury Bonds,38548,7,2004-01-31,-2155
LIABILITY,AUD,Treasury Bonds,38548,7,2004-02-29,-1867
LIABILITY,AUD,Treasury Bonds,38548,7,2004-03-31,-1722
LIABILITY,AUD,Treasury Bonds,38548,7,2004-04-30,-1578
LIABILITY,AUD,Treasury Bonds,38548,7,2004-05-31,-1579
LIABILITY,AUD,Treasury Bonds,38548,7,2004-06-30,-1434
LIABILITY,AUD,Treasury Bonds,38548,7,2004-07-31,-1435
LIABILITY,AUD,Treasury Bonds,38548,7,2004-08-31,-1147
LIABILITY,AUD,Treasury Bonds,38548,7,2004-09-30,-1002
LIABILITY,AUD,Treasury Bonds,38548,7,2004-10-31,-1002
LIABILITY,AUD,Treasury Bonds,38548,7,2004-11-30,-860
LIABILITY,AUD,Treasury Bonds,38548,7,2004-12-31,-766
LIABILITY,AUD,Treasury Bonds,38548,7,2005-01-31,-644
LIABILITY,AUD,Treasury Bonds,38548,7,2005-02-28,-533
LIABILITY,AUD,Treasury Bonds,38548,7,2005-03-31,-412
LIABILITY,AUD,Treasury Bonds,38548,7,2005-04-30,-303
LIABILITY,AUD,Treasury Bonds,38548,7,2005-05-31,-178
LIABILITY,AUD,Treasury Bonds,38548,7,2005-06-30,-56
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-06-30,-1100477
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-07-31,-1100477
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-08-31,-990429
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-09-30,-990430
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-10-31,-880383
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-11-30,-880383
LIABILITY,AUD,Treasury Bonds,38548,7.5,2003-12-31,-825360
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-01-31,-825360
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-02-29,-715311
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-03-31,-660286
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-04-30,-605263
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-05-31,-605263
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-06-30,-550240
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-07-31,-550240
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-08-31,-440192
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-09-30,-385169
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-10-31,-385169
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-11-30,-330144
LIABILITY,AUD,Treasury Bonds,38548,7.5,2004-12-31,-293997
LIABILITY,AUD,Treasury Bonds,38548,7.5,2005-01-31,-247644
LIABILITY,AUD,Treasury Bonds,38548,7.5,2005-02-28,-205594
LIABILITY,AUD,Treasury Bonds,38548,7.5,2005-03-31,-159319
LIABILITY,AUD,Treasury Bonds,38548,7.5,2005-04-30,-116173
LIABILITY,AUD,Treasury Bonds,38548,7.5,2005-05-31,-67910
LIABILITY,AUD,Treasury Bonds,38548,7.5,2005-06-30,-21805
LIABILITY,AUD,Treasury Bonds,38763,10,2003-06-30,-297224
LIABILITY,AUD,Treasury Bonds,38763,10,2003-07-31,-297224
LIABILITY,AUD,Treasury Bonds,38763,10,2003-08-31,-274362
LIABILITY,AUD,Treasury Bonds,38763,10,2003-09-30,-274362
LIABILITY,AUD,Treasury Bonds,38763,10,2003-10-31,-262929
LIABILITY,AUD,Treasury Bonds,38763,10,2003-11-30,-240066
LIABILITY,AUD,Treasury Bonds,38763,10,2003-12-31,-240066
LIABILITY,AUD,Treasury Bonds,38763,10,2004-01-31,-228634
LIABILITY,AUD,Treasury Bonds,38763,10,2004-02-29,-217203
LIABILITY,AUD,Treasury Bonds,38763,10,2004-03-31,-205771
LIABILITY,AUD,Treasury Bonds,38763,10,2004-04-30,-205771
LIABILITY,AUD,Treasury Bonds,38763,10,2004-05-31,-194339
LIABILITY,AUD,Treasury Bonds,38763,10,2004-06-30,-182907
LIABILITY,AUD,Treasury Bonds,38763,10,2004-07-31,-182907
LIABILITY,AUD,Treasury Bonds,38763,10,2004-08-31,-171476
LIABILITY,AUD,Treasury Bonds,38763,10,2004-09-30,-148613
LIABILITY,AUD,Treasury Bonds,38763,10,2004-10-31,-148613
LIABILITY,AUD,Treasury Bonds,38763,10,2004-11-30,-137181
LIABILITY,AUD,Treasury Bonds,38763,10,2004-12-31,-125749
LIABILITY,AUD,Treasury Bonds,38763,10,2005-01-31,-114318
LIABILITY,AUD,Treasury Bonds,38763,10,2005-02-28,-102885
LIABILITY,AUD,Treasury Bonds,38763,10,2005-03-31,-99456
LIABILITY,AUD,Treasury Bonds,38763,10,2005-04-30,-90311
LIABILITY,AUD,Treasury Bonds,38763,10,2005-05-31,-81166
LIABILITY,AUD,Treasury Bonds,38763,10,2005-06-30,-72578
LIABILITY,AUD,Treasury Bonds,38763,10,2005-07-31,-63323
LIABILITY,AUD,Treasury Bonds,38763,10,2005-08-31,-52878
LIABILITY,AUD,Treasury Bonds,38763,10,2005-09-30,-43564
LIABILITY,AUD,Treasury Bonds,38763,10,2005-10-31,-33867
LIABILITY,AUD,Treasury Bonds,38763,10,2005-11-30,-24428
LIABILITY,AUD,Treasury Bonds,38763,10,2005-12-31,-14919
LIABILITY,AUD,Treasury Bonds,38763,10,2006-01-31,-4585
LIABILITY,AUD,Treasury Bonds,39036,6.75,2003-06-30,-1952914
LIABILITY,AUD,Treasury Bonds,39036,6.75,2003-07-31,-1891884
LIABILITY,AUD,Treasury Bonds,39036,6.75,2003-08-31,-1830857
LIABILITY,AUD,Treasury Bonds,39036,6.75,2003-09-30,-1830857
LIABILITY,AUD,Treasury Bonds,39036,6.75,2003-10-31,-1708798
LIABILITY,AUD,Treasury Bonds,39036,6.75,2003-11-30,-1647771
