Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-06-30,-2.04028775841022
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-07-31,-1.95429582181809
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-08-31,-1.89309556830312
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-09-30,-1.80652340068234
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-10-31,-1.72081946948207
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-11-30,-1.660429257347
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-12-31,-1.57190175486902
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-01-31,-1.49080030547774
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-02-29,-1.42989843230714
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-03-31,-1.33938035399679
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-04-30,-1.25595975794215
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-05-31,-1.18386186146208
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-06-30,-1.10288866478197
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-07-31,-1.02196911647964
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-08-31,-0.945629990958224
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-09-30,-0.864929195757483
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-10-31,-0.786852851135327
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-11-30,-0.707806371629644
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-12-31,-0.623911461999501
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-01-31,-0.54015221275594
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-02-28,-0.46856674673239
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-03-31,-0.3821715141291
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-04-30,-0.301539687923309
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-05-31,-0.215848996899514
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-06-30,-0.13491087341574
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-07-31,-0.0566448314023435
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-06-30,-6.2147496511644
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-07-31,-6.11231601392176
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-08-31,-6.08624646626958
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-09-30,-6.00466321195618
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-10-31,-5.91144516638278
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-11-30,-5.88222779353121
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-12-31,-5.80222637887615
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-01-31,-5.7182228775559
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-02-29,-5.70599066748559
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-03-31,-5.62202064735179
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-04-30,-5.52993317483838
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-05-31,-5.50272008856522
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-06-30,-5.42205954453611
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-07-31,-5.34177303369982
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-08-31,-5.31676749001514
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-09-30,-5.24183853588915
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-10-31,-5.16211030473404
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-11-30,-5.12762702889034
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-12-31,-5.04199289817627
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-01-31,-4.95834525072894
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-02-28,-4.92373835709026
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-03-31,-4.840020793102
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-04-30,-4.76242477947091
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-05-31,-4.72090530154332
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-06-30,-4.63988898520722
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-07-31,-4.56319693654795
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-08-31,-4.51857002094363
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-09-30,-4.43302895602016
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-10-31,-4.34897917160521
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-11-30,-4.31038239196364
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-12-31,-4.23404165760357
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-01-31,-4.1475556671265
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-02-28,-4.10632491904793
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-03-31,-4.01844032429967
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-04-30,-3.9356843603174
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-05-31,-3.88113898943489
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-06-30,-3.80066484325489
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-07-31,-3.71773603278211
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-08-31,-3.67078224951691
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-09-30,-3.59284086436727
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-10-31,-3.50386341546476
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-11-30,-3.45322384522023
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-12-31,-3.37189789789028
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-01-31,-3.28236134784885
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-02-28,-3.23824479487644
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-03-31,-3.15260175605529
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-04-30,-3.06472180253529
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-05-31,-3.00705532889478
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-06-30,-2.92511076126507
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-07-31,-2.84308778913378
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-08-31,-2.78934424741717
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-09-30,-2.70752080443101
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-10-31,-2.62345872731377
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-11-30,-2.56925532093669
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-12-31,-2.48291717074575
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-01-31,-2.40009028617531
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-02-29,-2.34390258535248
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-03-31,-2.26174028916521
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-04-30,-2.18022444728148
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-05-31,-2.11565799021687
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-06-30,-2.03548963908974
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-07-31,-1.95419895387966
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-08-31,-1.89134669409277
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-09-30,-1.81153887642001
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-10-31,-1.72784512667106
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-11-30,-1.66266824178948
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-12-31,-1.57851226790949
