Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-06-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-07-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-08-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-09-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-10-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-11-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-12-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-01-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-02-29,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-03-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-04-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-05-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-06-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-07-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-08-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-09-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-10-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-11-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-12-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-01-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-02-28,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-03-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-04-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-05-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-06-30,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-07-31,-531793000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-08-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-09-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-10-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-11-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-12-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-01-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-02-29,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-03-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-04-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-05-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-08-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-09-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-10-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-11-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-12-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-01-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-02-28,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-03-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-04-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-05-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-08-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-09-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-10-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-11-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2005-12-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-01-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-02-28,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-03-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-04-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-05-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-08-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-09-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-10-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-11-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2006-12-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-01-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-02-28,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-03-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-04-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-05-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-08-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-09-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-10-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-11-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2007-12-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-01-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-02-29,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-03-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-04-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-05-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-08-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-09-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-10-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-11-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2008-12-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-01-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-02-28,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-03-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-04-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-05-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-06-30,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-07-31,-1452000000
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2009-08-31,-1452000000
