Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,Coupon (%),date,value
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-06-30,-235546
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-07-31,-225162
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-08-31,-216006
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-09-30,-206922
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-10-31,-196627
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-11-30,-187702
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2003-12-31,-178667
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-01-31,-169883
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-02-29,-162401
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-03-31,-153095
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-04-30,-143791
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-05-31,-135188
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-06-30,-126509
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-07-31,-117766
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-08-31,-108601
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-09-30,-99882
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-10-31,-91333
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-11-30,-81741
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2004-12-31,-72257
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-01-31,-62768
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-02-28,-54097
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-03-31,-44333
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-04-30,-35161
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-05-31,-25043
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-06-30,-15725
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),38584,4,2005-07-31,-6632
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-06-30,-1277447
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-07-31,-1234487
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-08-31,-1215504
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-09-30,-1212542
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-10-31,-1184658
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-11-30,-1156312
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2003-12-31,-1159079
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-01-31,-1141563
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-02-29,-1146668
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-03-31,-1146545
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-04-30,-1117668
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-05-31,-1114842
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-06-30,-1104130
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-07-31,-1093931
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-08-31,-1102684
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-09-30,-1102469
LIABILITY,AUD,Treasury Indexed Bonds (Capital Indexed),40410,4,2004-10-31,-1087818
