Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,37931,2003-10-31,-0.013672339901771
LIABILITY,AUD,Treasury Notes,39920,2009-03-31,-0.0437937044146591
LIABILITY,AUD,Treasury Notes,39969,2009-03-31,-0.177173672508469
LIABILITY,AUD,Treasury Notes,39969,2009-04-30,-0.0956867929592611
LIABILITY,AUD,Treasury Notes,39969,2009-05-31,-0.0164080877105134
LIABILITY,AUD,Treasury Notes,39976,2009-03-31,-0.19616817801413
LIABILITY,AUD,Treasury Notes,39976,2009-04-30,-0.114696949180715
LIABILITY,AUD,Treasury Notes,39976,2009-05-31,-0.0355712345430243
LIABILITY,AUD,Treasury Notes,39983,2009-03-31,-0.215158749464082
LIABILITY,AUD,Treasury Notes,39983,2009-04-30,-0.133712497718338
LIABILITY,AUD,Treasury Notes,39983,2009-05-31,-0.0546893246207964
LIABILITY,AUD,Treasury Notes,39990,2009-03-31,-0.234114554163724
LIABILITY,AUD,Treasury Notes,39990,2009-04-30,-0.152729523489678
LIABILITY,AUD,Treasury Notes,39990,2009-05-31,-0.0738622739385976
LIABILITY,AUD,Treasury Notes,39997,2009-04-30,-0.171764789999339
LIABILITY,AUD,Treasury Notes,39997,2009-05-31,-0.0929229021889387
LIABILITY,AUD,Treasury Notes,39997,2009-06-30,-0.00546756529747374
LIABILITY,AUD,Treasury Notes,40011,2009-04-30,-0.20972370566492
LIABILITY,AUD,Treasury Notes,40011,2009-05-31,-0.131007145691902
LIABILITY,AUD,Treasury Notes,40011,2009-06-30,-0.043790787284158
LIABILITY,AUD,Treasury Notes,40018,2009-04-30,-0.228678782570853
LIABILITY,AUD,Treasury Notes,40018,2009-05-31,-0.150013538633973
LIABILITY,AUD,Treasury Notes,40018,2009-06-30,-0.0628976310788855
LIABILITY,AUD,Treasury Notes,40025,2009-04-30,0.251882272416153
LIABILITY,AUD,Treasury Notes,40025,2009-05-31,-0.169023639993683
LIABILITY,AUD,Treasury Notes,40025,2009-06-30,-0.0819844677410133
LIABILITY,AUD,Treasury Notes,40032,2009-05-31,-0.188019863652533
LIABILITY,AUD,Treasury Notes,40032,2009-06-30,-0.1010553387059
LIABILITY,AUD,Treasury Notes,40032,2009-07-31,-0.0164247625963981
LIABILITY,AUD,Treasury Notes,40039,2009-05-31,-0.206976038313401
LIABILITY,AUD,Treasury Notes,40039,2009-06-30,-0.120114824829678
LIABILITY,AUD,Treasury Notes,40039,2009-07-31,-0.0355787404573208
LIABILITY,AUD,Treasury Notes,40046,2009-05-31,-0.225887123358891
LIABILITY,AUD,Treasury Notes,40046,2009-06-30,-0.139161231891977
LIABILITY,AUD,Treasury Notes,40046,2009-07-31,-0.0546897535421281
LIABILITY,AUD,Treasury Notes,40053,2009-05-31,-0.244791139811636
LIABILITY,AUD,Treasury Notes,40053,2009-06-30,-0.158145794480665
LIABILITY,AUD,Treasury Notes,40053,2009-07-31,-0.0737967387460583
LIABILITY,AUD,Treasury Notes,40060,2009-03-31,-0.424860192536718
LIABILITY,AUD,Treasury Notes,40060,2009-04-30,-0.34315536002046
LIABILITY,AUD,Treasury Notes,40060,2009-05-31,-0.2639191238135
LIABILITY,AUD,Treasury Notes,40060,2009-06-30,-0.177134847461412
LIABILITY,AUD,Treasury Notes,40060,2009-07-31,-0.0928921994315365
LIABILITY,AUD,Treasury Notes,40060,2009-08-31,-0.00820202193510737
LIABILITY,AUD,Treasury Notes,40067,2009-03-31,-0.444001103697454
LIABILITY,AUD,Treasury Notes,40067,2009-04-30,-0.362334174194535
LIABILITY,AUD,Treasury Notes,40067,2009-05-31,-0.283039027056853
LIABILITY,AUD,Treasury Notes,40067,2009-06-30,-0.196124997741565
LIABILITY,AUD,Treasury Notes,40067,2009-07-31,-0.111976076580142
LIABILITY,AUD,Treasury Notes,40067,2009-08-31,-0.0273625086184896
LIABILITY,AUD,Treasury Notes,40074,2009-03-31,-0.463036292128156
LIABILITY,AUD,Treasury Notes,40074,2009-04-30,-0.381376969358556
LIABILITY,AUD,Treasury Notes,40074,2009-05-31,-0.302099939926028
LIABILITY,AUD,Treasury Notes,40074,2009-06-30,-0.215042308802654
LIABILITY,AUD,Treasury Notes,40074,2009-07-31,-0.130981384650532
LIABILITY,AUD,Treasury Notes,40074,2009-08-31,-0.0464985725355484
LIABILITY,AUD,Treasury Notes,40081,2009-03-31,-0.48210511534418
LIABILITY,AUD,Treasury Notes,40081,2009-04-30,-0.400424184212775
LIABILITY,AUD,Treasury Notes,40081,2009-05-31,-0.321132738557147
LIABILITY,AUD,Treasury Notes,40081,2009-06-30,-0.233988857777214
LIABILITY,AUD,Treasury Notes,40081,2009-07-31,-0.150014656484208
LIABILITY,AUD,Treasury Notes,40081,2009-08-31,-0.0656073630308648
LIABILITY,AUD,Treasury Notes,40088,2009-04-30,-0.419489222603065
LIABILITY,AUD,Treasury Notes,40088,2009-05-31,-0.340184302739658
LIABILITY,AUD,Treasury Notes,40088,2009-06-30,-0.252933003518459
LIABILITY,AUD,Treasury Notes,40088,2009-07-31,-0.168990257014816
LIABILITY,AUD,Treasury Notes,40088,2009-08-31,-0.0847181956664547
LIABILITY,AUD,Treasury Notes,40088,2009-09-30,-0.00273355799535311
LIABILITY,AUD,Treasury Notes,40102,2009-04-30,-0.45760506321821
LIABILITY,AUD,Treasury Notes,40102,2009-05-31,-0.378275647745997
LIABILITY,AUD,Treasury Notes,40102,2009-06-30,-0.291041940232977
LIABILITY,AUD,Treasury Notes,40102,2009-07-31,-0.20695440735372
LIABILITY,AUD,Treasury Notes,40102,2009-08-31,-0.122796172573793
LIABILITY,AUD,Treasury Notes,40102,2009-09-30,-0.0410507850208369
LIABILITY,AUD,Treasury Notes,40109,2009-04-30,-0.476706298743561
LIABILITY,AUD,Treasury Notes,40109,2009-05-31,-0.397331871726525
LIABILITY,AUD,Treasury Notes,40109,2009-06-30,-0.310094088400109
LIABILITY,AUD,Treasury Notes,40109,2009-07-31,-0.225857335297213
LIABILITY,AUD,Treasury Notes,40109,2009-08-31,-0.141833286978884
LIABILITY,AUD,Treasury Notes,40109,2009-09-30,-0.0601647393986723
LIABILITY,AUD,Treasury Notes,40116,2009-04-30,-742.804672599323
LIABILITY,AUD,Treasury Notes,40116,2009-05-31,-0.416389250919161
LIABILITY,AUD,Treasury Notes,40116,2009-06-30,-0.329150189045005
LIABILITY,AUD,Treasury Notes,40116,2009-07-31,-0.244738570304535
LIABILITY,AUD,Treasury Notes,40116,2009-08-31,-0.16085130140051
LIABILITY,AUD,Treasury Notes,40116,2009-09-30,-0.0792575588935496
LIABILITY,AUD,Treasury Notes,40123,2009-05-31,-0.435413841088193
LIABILITY,AUD,Treasury Notes,40123,2009-06-30,-0.348227006381659
LIABILITY,AUD,Treasury Notes,40123,2009-07-31,-0.263748193808302
LIABILITY,AUD,Treasury Notes,40123,2009-08-31,-0.179823849558318
LIABILITY,AUD,Treasury Notes,40123,2009-09-30,-0.0983120498082111
LIABILITY,AUD,Treasury Notes,40123,2009-10-31,-0.0164254371931103
LIABILITY,AUD,Treasury Notes,40130,2009-05-31,-0.454489803406207
LIABILITY,AUD,Treasury Notes,40130,2009-06-30,-0.367290796548061
LIABILITY,AUD,Treasury Notes,40130,2009-07-31,-0.282864593457078
LIABILITY,AUD,Treasury Notes,40130,2009-08-31,-0.198755153089182
LIABILITY,AUD,Treasury Notes,40130,2009-09-30,-0.117373734832577
