Liability / Asset,Currency of Issue (all figures in AUD equivalent),Instrument,Maturity,date,value
LIABILITY,AUD,Treasury Notes,37931,2003-10-31,-1503
LIABILITY,AUD,Treasury Notes,39920,2009-03-31,-1312
LIABILITY,AUD,Treasury Notes,39969,2009-03-31,-8814
LIABILITY,AUD,Treasury Notes,39969,2009-04-30,-4771
LIABILITY,AUD,Treasury Notes,39969,2009-05-31,-820
LIABILITY,AUD,Treasury Notes,39976,2009-03-31,-11705
LIABILITY,AUD,Treasury Notes,39976,2009-04-30,-6859
LIABILITY,AUD,Treasury Notes,39976,2009-05-31,-2132
LIABILITY,AUD,Treasury Notes,39983,2009-03-31,-6416
LIABILITY,AUD,Treasury Notes,39983,2009-04-30,-3996
LIABILITY,AUD,Treasury Notes,39983,2009-05-31,-1638
LIABILITY,AUD,Treasury Notes,39990,2009-03-31,-6978
LIABILITY,AUD,Treasury Notes,39990,2009-04-30,-4562
LIABILITY,AUD,Treasury Notes,39990,2009-05-31,-2211
LIABILITY,AUD,Treasury Notes,39997,2009-04-30,-5128
LIABILITY,AUD,Treasury Notes,39997,2009-05-31,-2780
LIABILITY,AUD,Treasury Notes,39997,2009-06-30,-164
LIABILITY,AUD,Treasury Notes,40011,2009-04-30,-6255
LIABILITY,AUD,Treasury Notes,40011,2009-05-31,-3915
LIABILITY,AUD,Treasury Notes,40011,2009-06-30,-1312
LIABILITY,AUD,Treasury Notes,40018,2009-04-30,-13634
LIABILITY,AUD,Treasury Notes,40018,2009-05-31,-8961
LIABILITY,AUD,Treasury Notes,40018,2009-06-30,-15067
LIABILITY,AUD,Treasury Notes,40025,2009-04-30,0
LIABILITY,AUD,Treasury Notes,40025,2009-05-31,-10091
LIABILITY,AUD,Treasury Notes,40025,2009-06-30,-4907
LIABILITY,AUD,Treasury Notes,40032,2009-05-31,-11219
LIABILITY,AUD,Treasury Notes,40032,2009-06-30,-6045
LIABILITY,AUD,Treasury Notes,40032,2009-07-31,-985
LIABILITY,AUD,Treasury Notes,40039,2009-05-31,-12364
LIABILITY,AUD,Treasury Notes,40039,2009-06-30,-7193
LIABILITY,AUD,Treasury Notes,40039,2009-07-31,-2136
LIABILITY,AUD,Treasury Notes,40046,2009-05-31,-13464
LIABILITY,AUD,Treasury Notes,40046,2009-06-30,-8315
LIABILITY,AUD,Treasury Notes,40046,2009-07-31,-3276
LIABILITY,AUD,Treasury Notes,40053,2009-05-31,-14583
LIABILITY,AUD,Treasury Notes,40053,2009-06-30,-9444
LIABILITY,AUD,Treasury Notes,40053,2009-07-31,-4418
LIABILITY,AUD,Treasury Notes,40060,2009-03-31,-12607
LIABILITY,AUD,Treasury Notes,40060,2009-04-30,-10202
LIABILITY,AUD,Treasury Notes,40060,2009-05-31,-7857
LIABILITY,AUD,Treasury Notes,40060,2009-06-30,-15858
LIABILITY,AUD,Treasury Notes,40060,2009-07-31,-8337
LIABILITY,AUD,Treasury Notes,40060,2009-08-31,-738
LIABILITY,AUD,Treasury Notes,40067,2009-03-31,-21949
LIABILITY,AUD,Treasury Notes,40067,2009-04-30,-17946
LIABILITY,AUD,Treasury Notes,40067,2009-05-31,-14036
LIABILITY,AUD,Treasury Notes,40067,2009-06-30,-9749
LIABILITY,AUD,Treasury Notes,40067,2009-07-31,-5580
LIABILITY,AUD,Treasury Notes,40067,2009-08-31,-1367
LIABILITY,AUD,Treasury Notes,40074,2009-03-31,-13727
LIABILITY,AUD,Treasury Notes,40074,2009-04-30,-11328
LIABILITY,AUD,Treasury Notes,40074,2009-05-31,-8984
LIABILITY,AUD,Treasury Notes,40074,2009-06-30,-6410
LIABILITY,AUD,Treasury Notes,40074,2009-07-31,-3914
LIABILITY,AUD,Treasury Notes,40074,2009-08-31,-1393
LIABILITY,AUD,Treasury Notes,40081,2009-03-31,-14285
LIABILITY,AUD,Treasury Notes,40081,2009-04-30,-11888
LIABILITY,AUD,Treasury Notes,40081,2009-05-31,-9545
LIABILITY,AUD,Treasury Notes,40081,2009-06-30,-34831
LIABILITY,AUD,Treasury Notes,40081,2009-07-31,-22386
LIABILITY,AUD,Treasury Notes,40081,2009-08-31,-9815
LIABILITY,AUD,Treasury Notes,40088,2009-04-30,-12448
LIABILITY,AUD,Treasury Notes,40088,2009-05-31,-10106
LIABILITY,AUD,Treasury Notes,40088,2009-06-30,-7531
LIABILITY,AUD,Treasury Notes,40088,2009-07-31,-5044
LIABILITY,AUD,Treasury Notes,40088,2009-08-31,-2535
LIABILITY,AUD,Treasury Notes,40088,2009-09-30,-82
LIABILITY,AUD,Treasury Notes,40102,2009-04-30,-13566
LIABILITY,AUD,Treasury Notes,40102,2009-05-31,-11226
LIABILITY,AUD,Treasury Notes,40102,2009-06-30,-8656
LIABILITY,AUD,Treasury Notes,40102,2009-07-31,-6170
LIABILITY,AUD,Treasury Notes,40102,2009-08-31,-3670
LIABILITY,AUD,Treasury Notes,40102,2009-09-30,-1230
LIABILITY,AUD,Treasury Notes,40109,2009-04-30,-28251
LIABILITY,AUD,Treasury Notes,40109,2009-05-31,-23571
LIABILITY,AUD,Treasury Notes,40109,2009-06-30,-18435
LIABILITY,AUD,Treasury Notes,40109,2009-07-31,-51594
LIABILITY,AUD,Treasury Notes,40109,2009-08-31,-32479
LIABILITY,AUD,Treasury Notes,40109,2009-09-30,-17410
LIABILITY,AUD,Treasury Notes,40116,2009-04-30,0
LIABILITY,AUD,Treasury Notes,40116,2009-05-31,-24689
LIABILITY,AUD,Treasury Notes,40116,2009-06-30,-19557
LIABILITY,AUD,Treasury Notes,40116,2009-07-31,-14576
LIABILITY,AUD,Treasury Notes,40116,2009-08-31,-9603
LIABILITY,AUD,Treasury Notes,40116,2009-09-30,-4744
LIABILITY,AUD,Treasury Notes,40123,2009-05-31,-25804
LIABILITY,AUD,Treasury Notes,40123,2009-06-30,-20679
LIABILITY,AUD,Treasury Notes,40123,2009-07-31,-15699
LIABILITY,AUD,Treasury Notes,40123,2009-08-31,-10729
LIABILITY,AUD,Treasury Notes,40123,2009-09-30,-5881
