Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,North Asia,2009-12-31,7062500000
Reported,Asia,North Asia,2010-01-31,7537500000
Reported,Asia,North Asia,2010-02-28,7225500000
Reported,Asia,North Asia,2010-03-31,8210900000
Reported,Asia,North Asia,2010-04-30,7350600000
Reported,Asia,North Asia,2010-05-31,7657800000
Reported,Asia,North Asia,2010-06-30,6950900000
Reported,Asia,North Asia,2010-07-30,7164550000
Reported,Asia,North Asia,2010-08-31,7349960000
Reported,Asia,North Asia,2010-09-30,7099300000
Reported,Asia,North Asia,2010-10-31,7010300000
Reported,Asia,North Asia,2010-11-30,7999260000
Reported,Asia,North Asia,2010-12-31,6226300000
Reported,Asia,North Asia,2011-01-31,7252400000
Reported,Asia,North Asia,2011-02-28,7198300000
Reported,Asia,North Asia,2011-03-31,6712500000
Reported,Asia,North Asia,2011-04-29,6635200000
Reported,Asia,North Asia,2011-05-31,6683800000
Reported,Asia,North Asia,2011-06-30,7558300000
Reported,Asia,North Asia,2011-07-29,7065800000
Reported,Asia,North Asia,2011-08-31,6492800000
Reported,Asia,North Asia,2011-09-30,6692800000
Reported,Asia,North Asia,2011-10-31,6956800000
Reported,Asia,North Asia,2011-11-30,7216000000
Reported,Asia,North Asia,2011-12-30,7956900000
Reported,Asia,North Asia,2012-01-31,8861500000
Reported,Asia,North Asia,2012-02-29,10184600000
Reported,Asia,North Asia,2012-03-30,12083050000
Reported,Asia,North Asia,2012-04-30,10025200000
Reported,Asia,North Asia,2012-05-31,9989400000
Reported,Asia,North Asia,2012-06-29,11290400000
Reported,Asia,North Asia,2012-07-31,10090300000
Reported,Asia,North Asia,2012-08-31,9393900000
Reported,Asia,North Asia,2012-09-28,9943500000
Reported,Asia,North Asia,2012-10-31,9986000000
Reported,Asia,North Asia,2012-11-30,8931900000
Reported,Asia,North Asia,2012-12-31,7806700000
Reported,Asia,North Asia,2013-01-31,8897500000
Reported,Asia,North Asia,2013-02-28,9241300000
Reported,Asia,North Asia,2013-03-28,8914000000
Reported,Asia,North Asia,2013-04-30,8313000000
Reported,Asia,North Asia,2013-05-31,9902100000
Reported,Asia,North Asia,2013-06-28,9228300000
Reported,Asia,North Asia,2013-07-31,9607600000
Reported,Asia,North Asia,2013-08-30,10297000000
Reported,Asia,North Asia,2013-09-30,10251500000
Reported,Asia,North Asia,2013-10-31,11543500000
Reported,Asia,North Asia,2013-11-29,11684500000
Reported,Asia,North Asia,2013-12-31,11438000000
Reported,Asia,North Asia,2014-01-31,9923500000
Reported,Asia,North Asia,2014-02-28,10459500000
Reported,Asia,North Asia,2014-03-31,11062900000
Reported,Asia,North Asia,2014-04-30,10899237000
Reported,Asia,North Asia,2014-05-30,11941900000
Reported,Asia,North Asia,2014-06-30,11538600000
Reported,Asia,North Asia,2014-07-31,12469600000
Reported,Asia,North Asia,2014-08-29,12374800000
Reported,Asia,North Asia,2014-09-30,12020500000
Reported,Asia,North Asia,2014-10-31,12482900000
Reported,Asia,North Asia,2014-11-28,12878900000
Reported,Asia,North Asia,2014-12-31,13789300000
Reported,Asia,North Asia,2015-01-30,13531600000
Reported,Asia,North Asia,2015-02-27,13795220000
Reported,Asia,North Asia,2015-03-31,13533620000
Reported,Asia,North Asia,2015-04-30,10649100000
Reported,Asia,North Asia,2015-05-29,9355900000
Reported,Asia,North Asia,2015-06-30,10826500000
Reported,Asia,North Asia,2015-07-31,12645500000
Reported,Asia,North Asia,2015-08-31,12518300000
Reported,Asia,North Asia,2015-09-30,12233100000
Reported,Asia,North Asia,2015-10-30,12973000000
Reported,Asia,North Asia,2015-11-30,12565600000
Reported,Asia,North Asia,2015-12-31,12981300000
Reported,Asia,North Asia,2016-01-29,12698400000
Reported,Asia,North Asia,2016-02-29,12538800000
Reported,Asia,North Asia,2016-03-31,14767600000
Reported,Asia,North Asia,2016-04-29,13020500000
Reported,Asia,North Asia,2016-05-31,12177100000
Reported,Asia,North Asia,2016-06-30,12429300000
Reported,Asia,North Asia,2016-07-29,11492900000
Reported,Asia,North Asia,2016-08-31,12644600000
Reported,Asia,North Asia,2016-09-30,12448700000
Reported,Asia,North Asia,2016-10-31,12604300000
Reported,Asia,North Asia,2016-11-30,12184200000
Reported,Asia,North Asia,2016-12-30,10867400000
Reported,Asia,North Asia,2017-01-31,12523800000
Reported,Asia,North Asia,2017-02-28,12908500000
Reported,Asia,North Asia,2017-03-31,13421000000
Reported,Asia,North Asia,2017-04-28,12787400000
Reported,Asia,North Asia,2017-05-31,14131300000
Reported,Asia,North Asia,2017-06-30,14386000000
Reported,Asia,North Asia,2017-07-31,14881000000
Reported,Asia,North Asia,2017-08-31,14933900000
Reported,Asia,North Asia,2017-09-29,14544300000
Reported,Asia,North Asia,2017-10-31,14332500000
Reported,Asia,North Asia,2017-11-30,13722000000
Reported,Asia,North Asia,2017-12-29,15631550000
Reported,Asia,North Asia,2018-01-31,17774600000
Reported,Asia,North Asia,2018-02-28,19177200000
Reported,Asia,North Asia,2018-03-29,18000880000
Reported,Asia,North Asia,2018-04-30,18814576000
Reported,Asia,North Asia,2018-05-31,17991400000
Reported,Asia,North Asia,2018-06-29,17291200000
Reported,Asia,North Asia,2018-07-31,18018500000
Reported,Asia,North Asia,2018-08-31,18337095000
Reported,Asia,North Asia,2018-09-28,18722700000
Reported,Asia,North Asia,2018-10-31,18870820000
Reported,Asia,North Asia,2018-11-30,19087680000
Reported,Asia,North Asia,2018-12-31,17858290000
Reported,Asia,North Asia,2019-01-31,18718290000
Reported,Asia,North Asia,2019-02-28,19531310000
Reported,Asia,North Asia,2019-03-31,18507480000
Reported,Asia,North Asia,2019-04-30,18515127000
Reported,Asia,North Asia,2019-05-31,19898803013.37
Reported,Asia,North Asia,2019-06-30,20284070000
Reported,Asia,North Asia,2019-07-31,19238652000
Reported,Asia,North Asia,2019-08-31,19763680000
Reported,Asia,North Asia,2019-09-30,18196252000
Reported,Asia,North Asia,2019-10-31,18728782000
Reported,Asia,North Asia,2019-11-30,19797971000
Reported,Asia,North Asia,2019-12-31,21249479000
Reported,Asia,North Asia,2020-01-31,22885395000
Reported,Asia,North Asia,2020-02-29,22629474000
Reported,Asia,North Asia,2020-03-31,19201267000
Reported,Asia,North Asia,2020-04-30,20864930000
Reported,Asia,North Asia,2020-05-31,24345608000
Reported,Asia,North Asia,2020-06-30,25317802000
Reported,Asia,North Asia,2020-07-31,30558475000
Reported,Asia,North Asia,2020-08-31,34403031000
Reported,Asia,North Asia,2020-09-30,24109435000
Reported,Asia,North Asia,2020-10-31,23726221000
Reported,Asia,North Asia,2020-11-30,22330036000
Reported,Asia,North Asia,2020-12-31,21168825000
Reported,Asia,North Asia,2021-01-31,20644026000
Reported,Asia,North Asia,2021-02-28,18626974000
Reported,Asia,North Asia,2021-03-31,16575450000
Reported,Asia,North Asia,2021-04-30,17088450000
Reported,Asia,North Asia,2021-05-31,17286450000
Reported,Asia,North Asia,2021-06-30,16307194000
Reported,Asia,North Asia,2021-07-31,16960194000
