Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,North Asia,2009-12-31,3.6898027093121115
Reported,Asia,North Asia,2010-01-31,3.8974676673191873
Reported,Asia,North Asia,2010-02-28,3.6127588655988028
Reported,Asia,North Asia,2010-03-31,4.008863325113138
Reported,Asia,North Asia,2010-04-30,3.5154256144213676
Reported,Asia,North Asia,2010-05-31,3.584225517844906
Reported,Asia,North Asia,2010-06-30,3.2149554581820547
Reported,Asia,North Asia,2010-07-30,3.252161592028151
Reported,Asia,North Asia,2010-08-31,3.411485907271502
Reported,Asia,North Asia,2010-09-30,3.1657554404846047
Reported,Asia,North Asia,2010-10-31,3.1379292423396565
Reported,Asia,North Asia,2010-11-30,3.470370444707228
Reported,Asia,North Asia,2010-12-31,2.693332316108851
Reported,Asia,North Asia,2011-01-31,3.108185749389941
Reported,Asia,North Asia,2011-02-28,3.056899364934458
Reported,Asia,North Asia,2011-03-31,2.8440252983710423
Reported,Asia,North Asia,2011-04-29,2.8762827698993143
Reported,Asia,North Asia,2011-05-31,2.8391613169014733
Reported,Asia,North Asia,2011-06-30,3.272132184997553
Reported,Asia,North Asia,2011-07-29,3.0176530995034727
Reported,Asia,North Asia,2011-08-31,2.7118947766503405
Reported,Asia,North Asia,2011-09-30,2.724705912480623
Reported,Asia,North Asia,2011-10-31,2.7656771488725953
Reported,Asia,North Asia,2011-11-30,2.8286488075531486
Reported,Asia,North Asia,2011-12-30,3.0784361122552295
Reported,Asia,North Asia,2012-01-31,3.451708972303965
Reported,Asia,North Asia,2012-02-29,3.845680318310498
Reported,Asia,North Asia,2012-03-30,4.468572421539025
Reported,Asia,North Asia,2012-04-30,3.870577344178964
Reported,Asia,North Asia,2012-05-31,3.80610934804279
Reported,Asia,North Asia,2012-06-29,4.247720029539734
Reported,Asia,North Asia,2012-07-31,3.7842468572355674
Reported,Asia,North Asia,2012-08-31,3.4000610148508303
Reported,Asia,North Asia,2012-09-28,3.545885481776515
Reported,Asia,North Asia,2012-10-31,3.488966292125422
Reported,Asia,North Asia,2012-11-30,3.128323125469637
Reported,Asia,North Asia,2012-12-31,2.693687814080877
Reported,Asia,North Asia,2013-01-31,3.076265447250827
Reported,Asia,North Asia,2013-02-28,3.165966103202392
Reported,Asia,North Asia,2013-03-28,3.0242699177460217
Reported,Asia,North Asia,2013-04-30,2.804812803857021
Reported,Asia,North Asia,2013-05-31,3.4991775544864074
Reported,Asia,North Asia,2013-06-28,3.2640784409071375
Reported,Asia,North Asia,2013-07-31,3.3432307352912707
Reported,Asia,North Asia,2013-08-30,3.509184254554517
Reported,Asia,North Asia,2013-09-30,3.396772951159885
Reported,Asia,North Asia,2013-10-31,3.731229042757699
Reported,Asia,North Asia,2013-11-29,3.6276206171308463
Reported,Asia,North Asia,2013-12-31,3.60853014130798
Reported,Asia,North Asia,2014-01-31,3.139642667697495
Reported,Asia,North Asia,2014-02-28,3.265274528229061
Reported,Asia,North Asia,2014-03-31,3.3474690905271323
Reported,Asia,North Asia,2014-04-30,3.2516279949207103
Reported,Asia,North Asia,2014-05-30,3.477067846248446
Reported,Asia,North Asia,2014-06-30,3.4424740752725382
Reported,Asia,North Asia,2014-07-31,3.6414989978546988
Reported,Asia,North Asia,2014-08-29,3.571682323160808
Reported,Asia,North Asia,2014-09-30,3.3851454641427474
Reported,Asia,North Asia,2014-10-31,3.51340664026223
Reported,Asia,North Asia,2014-11-28,3.5577982091643405
Reported,Asia,North Asia,2014-12-31,3.7977659935012467
Reported,Asia,North Asia,2015-01-30,3.7054449221169223
Reported,Asia,North Asia,2015-02-27,3.732599626550342
Reported,Asia,North Asia,2015-03-31,3.5972708334921144
Reported,Asia,North Asia,2015-04-30,2.8815807789624137
Reported,Asia,North Asia,2015-05-29,2.488014911858434
Reported,Asia,North Asia,2015-06-30,2.8463567844600606
Reported,Asia,North Asia,2015-07-31,3.2382652295887078
Reported,Asia,North Asia,2015-08-31,3.160666370867487
Reported,Asia,North Asia,2015-09-30,3.0179923115875398
Reported,Asia,North Asia,2015-10-30,3.2302362007826266
Reported,Asia,North Asia,2015-11-30,3.0580516008726084
Reported,Asia,North Asia,2015-12-31,3.1770301966542895
Reported,Asia,North Asia,2016-01-29,3.039603632921375
Reported,Asia,North Asia,2016-02-29,2.9904534221372483
Reported,Asia,North Asia,2016-03-31,3.448927670192545
Reported,Asia,North Asia,2016-04-29,3.0043241857996925
Reported,Asia,North Asia,2016-05-31,2.71987469591599
Reported,Asia,North Asia,2016-06-30,2.898095483604351
Reported,Asia,North Asia,2016-07-29,2.6234758726835485
Reported,Asia,North Asia,2016-08-31,2.8706464764517654
Reported,Asia,North Asia,2016-09-30,2.773091615951913
Reported,Asia,North Asia,2016-10-31,2.73798035755646
Reported,Asia,North Asia,2016-11-30,2.5943097166059568
Reported,Asia,North Asia,2016-12-30,2.3002463008378284
Reported,Asia,North Asia,2017-01-31,2.598181014264641
Reported,Asia,North Asia,2017-02-28,2.6608728454814643
Reported,Asia,North Asia,2017-03-31,2.7327692588082426
Reported,Asia,North Asia,2017-04-28,2.5810125686916208
Reported,Asia,North Asia,2017-05-31,2.8086919807691304
Reported,Asia,North Asia,2017-06-30,2.8358815358243774
Reported,Asia,North Asia,2017-07-31,2.9863975318852836
Reported,Asia,North Asia,2017-08-31,2.9626367205460733
Reported,Asia,North Asia,2017-09-29,2.874308653948772
Reported,Asia,North Asia,2017-10-31,2.8111077456452866
Reported,Asia,North Asia,2017-11-30,2.6457405617119742
Reported,Asia,North Asia,2017-12-29,3.0020698550905185
Reported,Asia,North Asia,2018-01-31,3.438782240858628
Reported,Asia,North Asia,2018-02-28,3.6866046474773126
Reported,Asia,North Asia,2018-03-29,3.4321655775672695
Reported,Asia,North Asia,2018-04-30,3.5658934597713863
Reported,Asia,North Asia,2018-05-31,3.374861861017702
Reported,Asia,North Asia,2018-06-29,3.228859741666026
Reported,Asia,North Asia,2018-07-31,3.3731480662901943
Reported,Asia,North Asia,2018-08-31,3.421359202554833
Reported,Asia,North Asia,2018-09-28,3.453557454396223
Reported,Asia,North Asia,2018-10-31,3.5230556287065653
Reported,Asia,North Asia,2018-11-30,3.5278207213800905
Reported,Asia,North Asia,2018-12-31,3.294706195479096
Reported,Asia,North Asia,2019-01-31,3.4413102102233912
Reported,Asia,North Asia,2019-02-28,3.5695104051470588
Reported,Asia,North Asia,2019-03-31,3.443750966307598
Reported,Asia,North Asia,2019-04-30,3.448564397596805
Reported,Asia,North Asia,2019-05-31,3.6651953019985064
Reported,Asia,North Asia,2019-06-30,3.732869120637034
Reported,Asia,North Asia,2019-07-31,3.5091604883734426
Reported,Asia,North Asia,2019-08-31,3.5668742524015045
Reported,Asia,North Asia,2019-09-30,3.240493886000023
Reported,Asia,North Asia,2019-10-31,3.3793741490930773
Reported,Asia,North Asia,2019-11-30,3.5572442921752416
Reported,Asia,North Asia,2019-12-31,3.772966731976078
Reported,Asia,North Asia,2020-01-31,4.018883948737768
Reported,Asia,North Asia,2020-02-29,3.951045528484657
Reported,Asia,North Asia,2020-03-31,3.301995796578245
Reported,Asia,North Asia,2020-04-30,3.444631234606576
Reported,Asia,North Asia,2020-05-31,3.6911252541038087
Reported,Asia,North Asia,2020-06-30,3.6931690877974597
Reported,Asia,North Asia,2020-07-31,4.1537696497354695
Reported,Asia,North Asia,2020-08-31,4.457176319321349
Reported,Asia,North Asia,2020-09-30,2.991775540076884
Reported,Asia,North Asia,2020-10-31,2.890777311906422
Reported,Asia,North Asia,2020-11-30,2.762536642354294
Reported,Asia,North Asia,2020-12-31,2.618420229409898
Reported,Asia,North Asia,2021-01-31,2.5563051459808794
Reported,Asia,North Asia,2021-02-28,2.287771320480852
Reported,Asia,North Asia,2021-03-31,2.0246815394405178
Reported,Asia,North Asia,2021-04-30,2.0475811432036286
Reported,Asia,North Asia,2021-05-31,2.121050932717618
Reported,Asia,North Asia,2021-06-30,1.9948343411844018
Reported,Asia,North Asia,2021-07-31,2.0523751721538925
Reported,Asia,North Asia,2021-08-31,2.069564970257341
Reported,Asia,North Asia,2021-09-30,1.9513529187321128
Reported,Asia,North Asia,2021-10-31,1.8433660866046564
Reported,Asia,North Asia,2021-11-30,1.7052309012441509
Reported,Asia,North Asia,2021-12-31,1.631412516428238
Reported,Asia,North Asia,2022-01-31,1.5337570745410212
Reported,Asia,North Asia,2022-02-28,1.0777376475420093
Reported,Asia,North Asia,2022-03-31,1.0994136963353776
Reported,Asia,North Asia,2022-04-30,1.0638768697689565
Reported,Asia,North Asia,2022-05-31,1.0823832129408326
Reported,Asia,North Asia,2022-06-30,1.1374401636424392
Reported,Asia,North Asia,2022-07-31,1.0833609124545434
Reported,Asia,North Asia,2022-08-31,1.0964709338629204
Reported,Asia,North Asia,2022-09-30,1.1118590368870254
Reported,Asia,North Asia,2022-10-31,1.0929888236745744
Reported,Asia,North Asia,2022-11-30,1.1832477471588816
Reported,Asia,North Asia,2022-12-31,1.109770286733338
Reported,Asia,North Asia,2023-01-31,1.139317771743093
Reported,Asia,North Asia,2023-02-28,1.2972160550655203
Reported,Asia,North Asia,2023-03-31,1.3085308879644948
Reported,Asia,North Asia,2023-04-30,1.3696601821189538
Reported,Asia,North Asia,2023-05-31,1.3518621494633503
Reported,Asia,North Asia,2023-06-30,1.3676275267267475
Reported,Asia,South and South East Asia,2009-12-31,2.0881305370042043
Reported,Asia,South and South East Asia,2010-01-31,1.8788560518272202
Reported,Asia,South and South East Asia,2010-02-28,1.7074066899233435
Reported,Asia,South and South East Asia,2010-03-31,2.218940930262312
Reported,Asia,South and South East Asia,2010-04-30,2.329994120518553
Reported,Asia,South and South East Asia,2010-05-31,2.216963162912556
Reported,Asia,South and South East Asia,2010-06-30,2.2295280636500534
Reported,Asia,South and South East Asia,2010-07-30,2.3835810892450424
Reported,Asia,South and South East Asia,2010-08-31,2.9180222285922666
Reported,Asia,South and South East Asia,2010-09-30,3.0334361115571054
Reported,Asia,South and South East Asia,2010-10-31,3.26348804041142
Reported,Asia,South and South East Asia,2010-11-30,3.4063990931166677
Reported,Asia,South and South East Asia,2010-12-31,3.486025398024443
Reported,Asia,South and South East Asia,2011-01-31,3.611933070381845
Reported,Asia,South and South East Asia,2011-02-28,3.523432922070128
Reported,Asia,South and South East Asia,2011-03-31,3.660924694520135
Reported,Asia,South and South East Asia,2011-04-29,3.7572852519373416
Reported,Asia,South and South East Asia,2011-05-31,3.9113357263290065
Reported,Asia,South and South East Asia,2011-06-30,3.82588112834345
Reported,Asia,South and South East Asia,2011-07-29,6.542592485040476
Reported,Asia,South and South East Asia,2011-08-31,5.849112374046264
Reported,Asia,South and South East Asia,2011-09-30,6.118458460166275
Reported,Asia,South and South East Asia,2011-10-31,6.827687938992532
Reported,Asia,South and South East Asia,2011-11-30,7.522341883374092
Reported,Asia,South and South East Asia,2011-12-30,8.3493734297953
Reported,Asia,South and South East Asia,2012-01-31,8.440377886092085
Reported,Asia,South and South East Asia,2012-02-29,8.783223688368558
Reported,Asia,South and South East Asia,2012-03-30,8.402643589008237
Reported,Asia,South and South East Asia,2012-04-30,8.582844649439753
Reported,Asia,South and South East Asia,2012-05-31,8.48188690613367
Reported,Asia,South and South East Asia,2012-06-29,8.376743251993835
Reported,Asia,South and South East Asia,2012-07-31,8.040180997661867
Reported,Asia,South and South East Asia,2012-08-31,7.400769072404907
Reported,Asia,South and South East Asia,2012-09-28,7.419705193800839
Reported,Asia,South and South East Asia,2012-10-31,7.1767697724823725
Reported,Asia,South and South East Asia,2012-11-30,6.807683142856671
Reported,Asia,South and South East Asia,2012-12-31,6.563888214544046
Reported,Asia,South and South East Asia,2013-01-31,6.204774681004248
Reported,Asia,South and South East Asia,2013-02-28,6.198495572233529
Reported,Asia,South and South East Asia,2013-03-28,5.717437920094155
Reported,Asia,South and South East Asia,2013-04-30,5.666370010717227
Reported,Asia,South and South East Asia,2013-05-31,5.47795908679507
Reported,Asia,South and South East Asia,2013-06-28,5.417326787721472
Reported,Asia,South and South East Asia,2013-07-31,5.280223654999201
Reported,Asia,South and South East Asia,2013-08-30,5.054707110878093
Reported,Asia,South and South East Asia,2013-09-30,4.932395967478777
Reported,Asia,South and South East Asia,2013-10-31,4.915075436270349
Reported,Asia,South and South East Asia,2013-11-29,4.920185509824426
Reported,Asia,South and South East Asia,2013-12-31,4.840456714078285
Reported,Asia,South and South East Asia,2014-01-31,4.926536114570133
Reported,Asia,South and South East Asia,2014-02-28,4.941867735182514
Reported,Asia,South and South East Asia,2014-03-31,5.00940342069408
Reported,Asia,South and South East Asia,2014-04-30,4.76547568068496
Reported,Asia,South and South East Asia,2014-05-30,4.444509076996743
Reported,Asia,South and South East Asia,2014-06-30,4.3691764251118554
Reported,Asia,South and South East Asia,2014-07-31,4.382599062395964
Reported,Asia,South and South East Asia,2014-08-29,4.430098307644869
Reported,Asia,South and South East Asia,2014-09-30,4.437806439807929
Reported,Asia,South and South East Asia,2014-10-31,4.347436333167752
Reported,Asia,South and South East Asia,2014-11-28,4.364518296742363
Reported,Asia,South and South East Asia,2014-12-31,4.494247187484815
Reported,Asia,South and South East Asia,2015-01-30,4.432701333541119
Reported,Asia,South and South East Asia,2015-02-27,4.608058992944699
Reported,Asia,South and South East Asia,2015-03-31,4.6122668789116315
Reported,Asia,South and South East Asia,2015-04-30,4.88916702143622
Reported,Asia,South and South East Asia,2015-05-29,4.801044396746004
Reported,Asia,South and South East Asia,2015-06-30,4.693481570274617
Reported,Asia,South and South East Asia,2015-07-31,4.306390069445293
Reported,Asia,South and South East Asia,2015-08-31,4.103756517541997
Reported,Asia,South and South East Asia,2015-09-30,4.059454384139538
Reported,Asia,South and South East Asia,2015-10-30,3.8419099230908795
Reported,Asia,South and South East Asia,2015-11-30,3.874049263638335
Reported,Asia,South and South East Asia,2015-12-31,3.8824296280184227
Reported,Asia,South and South East Asia,2016-01-29,3.932007743934029
Reported,Asia,South and South East Asia,2016-02-29,3.9551582224993966
Reported,Asia,South and South East Asia,2016-03-31,3.844241351414053
Reported,Asia,South and South East Asia,2016-04-29,3.7680097572139166
Reported,Asia,South and South East Asia,2016-05-31,3.7118495458816376
Reported,Asia,South and South East Asia,2016-06-30,3.964704116525343
Reported,Asia,South and South East Asia,2016-07-29,3.8986683557224238
Reported,Asia,South and South East Asia,2016-08-31,3.816628082172468
Reported,Asia,South and South East Asia,2016-09-30,4.0348669017988446
Reported,Asia,South and South East Asia,2016-10-31,4.131841163588671
Reported,Asia,South and South East Asia,2016-11-30,3.8073472091382716
Reported,Asia,South and South East Asia,2016-12-30,3.2354962125551276
Reported,Asia,South and South East Asia,2017-01-31,2.858924799883255
Reported,Asia,South and South East Asia,2017-02-28,2.234733291430736
Reported,Asia,South and South East Asia,2017-03-31,2.2859581252812426
Reported,Asia,South and South East Asia,2017-04-28,2.2484705931885567
Reported,Asia,South and South East Asia,2017-05-31,2.2868659378070313
Reported,Asia,South and South East Asia,2017-06-30,2.364627650134001
Reported,Asia,South and South East Asia,2017-07-31,2.335262125927773
Reported,Asia,South and South East Asia,2017-08-31,2.360650459554086
Reported,Asia,South and South East Asia,2017-09-29,2.656494938195097
Reported,Asia,South and South East Asia,2017-10-31,2.5680305282757208
Reported,Asia,South and South East Asia,2017-11-30,2.5557782486390708
Reported,Asia,South and South East Asia,2017-12-29,2.613897309177853
Reported,Asia,South and South East Asia,2018-01-31,2.4980272938118535
Reported,Asia,South and South East Asia,2018-02-28,2.498503582985797
Reported,Asia,South and South East Asia,2018-03-29,2.4792609042338154
Reported,Asia,South and South East Asia,2018-04-30,2.490121508374297
Reported,Asia,South and South East Asia,2018-05-31,2.508871039426591
Reported,Asia,South and South East Asia,2018-06-29,2.4281618325394323
Reported,Asia,South and South East Asia,2018-07-31,2.460702949743216
Reported,Asia,South and South East Asia,2018-08-31,2.5435874307218787
Reported,Asia,South and South East Asia,2018-09-28,2.5585464040528865
Reported,Asia,South and South East Asia,2018-10-31,2.5284237449893863
Reported,Asia,South and South East Asia,2018-11-30,2.4984580858782595
Reported,Asia,South and South East Asia,2018-12-31,2.4165081996144826
Reported,Asia,South and South East Asia,2019-01-31,2.7005712986315733
Reported,Asia,South and South East Asia,2019-02-28,2.702812639508964
Reported,Asia,South and South East Asia,2019-03-31,2.6300851889846353
Reported,Asia,South and South East Asia,2019-04-30,2.619644908108044
Reported,Asia,South and South East Asia,2019-05-31,2.65923335941072
Reported,Asia,South and South East Asia,2019-06-30,2.672350750623409
Reported,Asia,South and South East Asia,2019-07-31,2.625325980053731
Reported,Asia,South and South East Asia,2019-08-31,2.592380271167261
Reported,Asia,South and South East Asia,2019-09-30,2.6065544249100414
Reported,Asia,South and South East Asia,2019-10-31,2.632210168693838
Reported,Asia,South and South East Asia,2019-11-30,2.6527427234233385
Reported,Asia,South and South East Asia,2019-12-31,2.702209096566855
Reported,Asia,South and South East Asia,2020-01-31,2.628330200693565
Reported,Asia,South and South East Asia,2020-02-29,2.4363196637498317
Reported,Asia,South and South East Asia,2020-03-31,2.3923160848902043
Reported,Asia,South and South East Asia,2020-04-30,2.4483849034625362
Reported,Asia,South and South East Asia,2020-05-31,2.647034715955543
Reported,Asia,South and South East Asia,2020-06-30,2.6813079681674714
Reported,Asia,South and South East Asia,2020-07-31,2.6416065040053347
Reported,Asia,South and South East Asia,2020-08-31,2.872200769702123
Reported,Asia,South and South East Asia,2020-09-30,3.08566936058322
Reported,Asia,South and South East Asia,2020-10-31,3.326761342609951
Reported,Asia,South and South East Asia,2020-11-30,3.4131975931141376
Reported,Asia,South and South East Asia,2020-12-31,3.476190320526959
Reported,Asia,South and South East Asia,2021-01-31,3.4642429393824483
