Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,North Asia,40178,7062500000
Reported,Asia,North Asia,40209,7537500000
Reported,Asia,North Asia,40237,7225500000
Reported,Asia,North Asia,40268,8210900000
Reported,Asia,North Asia,40298,7350600000
Reported,Asia,North Asia,40329,7657800000
Reported,Asia,North Asia,40359,6950900000
Reported,Asia,North Asia,40389,7164550000
Reported,Asia,North Asia,40421,7349960000
Reported,Asia,North Asia,40451,7099300000
Reported,Asia,North Asia,40482,7010300000
Reported,Asia,North Asia,40512,7999260000
Reported,Asia,North Asia,40543,6226300000
Reported,Asia,North Asia,40574,7252400000
Reported,Asia,North Asia,40602,7198300000
Reported,Asia,North Asia,40633,6712500000
Reported,Asia,North Asia,40662,6635200000
Reported,Asia,North Asia,40694,6683800000
Reported,Asia,North Asia,40724,7558300000
Reported,Asia,North Asia,40753,7065800000
Reported,Asia,North Asia,40786,6492800000
Reported,Asia,North Asia,40816,6692800000
Reported,Asia,North Asia,40847,6956800000
Reported,Asia,North Asia,40877,7216000000
Reported,Asia,North Asia,40907,7956900000
Reported,Asia,North Asia,40939,8861500000
Reported,Asia,North Asia,40968,10184600000
Reported,Asia,North Asia,40998,12083050000
Reported,Asia,North Asia,41029,10025200000
Reported,Asia,North Asia,41060,9989400000
Reported,Asia,North Asia,41089,11290400000
Reported,Asia,North Asia,41121,10090300000
Reported,Asia,North Asia,41152,9393900000
Reported,Asia,North Asia,41180,9943500000
Reported,Asia,North Asia,41213,9986000000
Reported,Asia,North Asia,41243,8931900000
Reported,Asia,North Asia,41274,7806700000
Reported,Asia,North Asia,41305,8897500000
Reported,Asia,North Asia,41333,9241300000
Reported,Asia,North Asia,41361,8914000000
Reported,Asia,North Asia,41394,8313000000
Reported,Asia,North Asia,41425,9902100000
Reported,Asia,North Asia,41453,9228300000
Reported,Asia,North Asia,41486,9607600000
Reported,Asia,North Asia,41516,10297000000
Reported,Asia,North Asia,41547,10251500000
Reported,Asia,North Asia,41578,11543500000
Reported,Asia,North Asia,41607,11684500000
Reported,Asia,North Asia,41639,11438000000
Reported,Asia,North Asia,41670,9923500000
Reported,Asia,North Asia,41698,10459500000
Reported,Asia,North Asia,41729,11062900000
Reported,Asia,North Asia,41759,10899237000
Reported,Asia,North Asia,41789,11941900000
Reported,Asia,North Asia,41820,11538600000
Reported,Asia,North Asia,41851,12469600000
Reported,Asia,North Asia,41880,12374800000
Reported,Asia,North Asia,41912,12020500000
Reported,Asia,North Asia,41943,12482900000
Reported,Asia,North Asia,41971,12878900000
Reported,Asia,North Asia,42004,13789300000
Reported,Asia,North Asia,42034,13531600000
Reported,Asia,North Asia,42062,13795220000
Reported,Asia,North Asia,42094,13533620000
Reported,Asia,North Asia,42124,10649100000
Reported,Asia,North Asia,42153,9355900000
Reported,Asia,North Asia,42185,10826500000
Reported,Asia,North Asia,42216,12645500000
Reported,Asia,North Asia,42247,12518300000
Reported,Asia,North Asia,42277,12233100000
Reported,Asia,North Asia,42307,12973000000
Reported,Asia,North Asia,42338,12565600000
Reported,Asia,North Asia,42369,12981300000
Reported,Asia,North Asia,42398,12698400000
Reported,Asia,North Asia,42429,12538800000
Reported,Asia,North Asia,42460,14767600000
Reported,Asia,North Asia,42489,13020500000
Reported,Asia,North Asia,42521,12177100000
Reported,Asia,North Asia,42551,12429300000
Reported,Asia,North Asia,42580,11492900000
Reported,Asia,North Asia,42613,12644600000
Reported,Asia,North Asia,42643,12448700000
Reported,Asia,North Asia,42674,12604300000
Reported,Asia,North Asia,42704,12184200000
Reported,Asia,North Asia,42734,10867400000
Reported,Asia,North Asia,42766,12523800000
Reported,Asia,North Asia,42794,12908500000
Reported,Asia,North Asia,42825,13421000000
Reported,Asia,North Asia,42853,12787400000
Reported,Asia,North Asia,42886,14131300000
Reported,Asia,North Asia,42916,14386000000
Reported,Asia,North Asia,42947,14881000000
Reported,Asia,North Asia,42978,14933900000
Reported,Asia,North Asia,43007,14544300000
Reported,Asia,North Asia,43039,14332500000
Reported,Asia,North Asia,43069,13722000000
Reported,Asia,North Asia,43098,15631550000
Reported,Asia,North Asia,43131,17774600000
Reported,Asia,North Asia,43159,19177200000
Reported,Asia,North Asia,43188,18000880000
Reported,Asia,North Asia,43220,18814576000
