Identified/Not Identified by Country of Beneficial Ownership,Region of Beneficial Ownership,Sub-Region of Beneficial Ownership,date,value
Reported,Asia,North Asia,40178,3.6898027093121115
Reported,Asia,North Asia,40209,3.8974676673191873
Reported,Asia,North Asia,40237,3.6127588655988028
Reported,Asia,North Asia,40268,4.008863325113138
Reported,Asia,North Asia,40298,3.5154256144213676
Reported,Asia,North Asia,40329,3.5842255178449061
Reported,Asia,North Asia,40359,3.2149554581820547
Reported,Asia,North Asia,40389,3.252161592028151
Reported,Asia,North Asia,40421,3.4114859072715018
Reported,Asia,North Asia,40451,3.1657554404846047
Reported,Asia,North Asia,40482,3.1379292423396565
Reported,Asia,North Asia,40512,3.4703704447072279
Reported,Asia,North Asia,40543,2.6933323161088509
Reported,Asia,North Asia,40574,3.108185749389941
Reported,Asia,North Asia,40602,3.0568993649344578
Reported,Asia,North Asia,40633,2.8440252983710423
Reported,Asia,North Asia,40662,2.8762827698993143
Reported,Asia,North Asia,40694,2.8391613169014733
Reported,Asia,North Asia,40724,3.2721321849975529
Reported,Asia,North Asia,40753,3.0176530995034727
Reported,Asia,North Asia,40786,2.7118947766503405
Reported,Asia,North Asia,40816,2.7247059124806232
Reported,Asia,North Asia,40847,2.7656771488725953
Reported,Asia,North Asia,40877,2.8286488075531486
Reported,Asia,North Asia,40907,3.0784361122552295
Reported,Asia,North Asia,40939,3.4517089723039649
Reported,Asia,North Asia,40968,3.8456803183104982
Reported,Asia,North Asia,40998,4.468572421539025
Reported,Asia,North Asia,41029,3.8705773441789639
Reported,Asia,North Asia,41060,3.8061093480427899
Reported,Asia,North Asia,41089,4.2477200295397344
Reported,Asia,North Asia,41121,3.7842468572355674
Reported,Asia,North Asia,41152,3.4000610148508303
Reported,Asia,North Asia,41180,3.5458854817765149
Reported,Asia,North Asia,41213,3.4889662921254221
Reported,Asia,North Asia,41243,3.1283231254696369
Reported,Asia,North Asia,41274,2.6936878140808771
Reported,Asia,North Asia,41305,3.0762654472508268
Reported,Asia,North Asia,41333,3.165966103202392
Reported,Asia,North Asia,41361,3.0242699177460217
Reported,Asia,North Asia,41394,2.804812803857021
Reported,Asia,North Asia,41425,3.4991775544864074
Reported,Asia,North Asia,41453,3.2640784409071375
Reported,Asia,North Asia,41486,3.3432307352912707
Reported,Asia,North Asia,41516,3.5091842545545169
Reported,Asia,North Asia,41547,3.396772951159885
Reported,Asia,North Asia,41578,3.7312290427576991
Reported,Asia,North Asia,41607,3.6276206171308463
Reported,Asia,North Asia,41639,3.60853014130798
Reported,Asia,North Asia,41670,3.1396426676974949
Reported,Asia,North Asia,41698,3.2652745282290612
Reported,Asia,North Asia,41729,3.3474690905271323
Reported,Asia,North Asia,41759,3.2516279949207103
Reported,Asia,North Asia,41789,3.4770678462484459
Reported,Asia,North Asia,41820,3.4424740752725382
Reported,Asia,North Asia,41851,3.6414989978546988
Reported,Asia,North Asia,41880,3.5716823231608079
Reported,Asia,North Asia,41912,3.3851454641427474
Reported,Asia,North Asia,41943,3.5134066402622302
Reported,Asia,North Asia,41971,3.5577982091643405
Reported,Asia,North Asia,42004,3.7977659935012467
Reported,Asia,North Asia,42034,3.7054449221169223
Reported,Asia,North Asia,42062,3.7325996265503418
Reported,Asia,North Asia,42094,3.5972708334921144
Reported,Asia,North Asia,42124,2.8815807789624137
Reported,Asia,North Asia,42153,2.4880149118584338
Reported,Asia,North Asia,42185,2.8463567844600606
Reported,Asia,North Asia,42216,3.2382652295887078
Reported,Asia,North Asia,42247,3.1606663708674869
Reported,Asia,North Asia,42277,3.0179923115875398
