date_held,tender_number,maturity,isin,date_settled,name,value
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,amount_offered,300000000
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,amount_allotted,300000000
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,amount_of_bids,2154000000
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,coverage_ratio,7.2
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,weighted_average_issue_yield,3.184
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,lowest_accepted_yield,3.14
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,highest_accepted_yield,3.19
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,highest_bid_yield,3.37
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,weighted_average_bid,3.2749
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,number_of_bids,14
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,number_of_successful_bids,4
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,number_of_bids_accepted_in_full,3
2009-03-06,01/09,2009-04-18,AU2CLTN17046,2009-03-07,settlement_proceeds,298904695
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,amount_offered,500000000
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,amount_allotted,500000000
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,amount_of_bids,4463000000
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,coverage_ratio,8.9
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,weighted_average_issue_yield,3.061
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,lowest_accepted_yield,2.85
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,highest_accepted_yield,3.12
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,highest_bid_yield,3.37
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,weighted_average_bid,3.2207
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,number_of_bids,45
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,number_of_successful_bids,14
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,number_of_bids_accepted_in_full,7
2009-03-06,01/09,2009-06-06,AU2CLTN05066,2009-03-07,settlement_proceeds,496213038
2009-03-06,01/09,2009-09-05,AU2CLTN04093,2009-03-07,amount_offered,300000000
2009-03-06,01/09,2009-09-05,AU2CLTN04093,2009-03-07,amount_allotted,300000000
2009-03-06,01/09,2009-09-05,AU2CLTN04093,2009-03-07,amount_of_bids,2866000000
