date_held,tender_number_buyback_method,maturity,isin,date_settled,name,value
3633258-05-05,RBA,3662591-03-08,AU3TB0000010,3634441-02-12,coupon,5.75
3633258-05-05,RBA,3662591-03-08,AU3TB0000010,3634441-02-12,amount_repurchased,1500000000
3634441-02-12,RBA,3662591-03-08,AU3TB0000010,3635150-10-14,coupon,5.75
3634441-02-12,RBA,3662591-03-08,AU3TB0000010,3635150-10-14,amount_repurchased,250000000
3788201-12-23,RBA,3799556-08-16,AU3TB0000069,3788911-08-23,coupon,5.5
3788201-12-23,RBA,3799556-08-16,AU3TB0000069,3788911-08-23,amount_repurchased,1350549000
3909318-03-22,RBA,3914522-06-08,AU0000XCLWI3,3909554-10-11,coupon,6.25
3909318-03-22,RBA,3914522-06-08,AU0000XCLWI3,3909554-10-11,amount_repurchased,3472861000
3922801-11-12,RBA,3959231-05-12,AU3TB0000119,3923984-08-22,coupon,4.75
3922801-11-12,RBA,3959231-05-12,AU3TB0000119,3923984-08-22,amount_repurchased,2500000000
3970349-06-15,RBA,4015531-06-29,AU3TB0000077,3970586-01-03,coupon,4.75
3970349-06-15,RBA,4015531-06-29,AU3TB0000077,3970586-01-03,amount_repurchased,3000000000
3985488-12-25,RBA,4015531-06-29,AU3TB0000077,3986198-08-25,coupon,4.75
3985488-12-25,RBA,4015531-06-29,AU3TB0000077,3986198-08-25,amount_repurchased,3000000000
4012219-09-20,RBA,4073487-07-04,AU300TB01208,4012692-10-29,coupon,6
4012219-09-20,RBA,4073487-07-04,AU300TB01208,4012692-10-29,amount_repurchased,9267311000
4028305-06-21,RBA,4110390-02-10,AU3TB0000127,4029015-02-19,coupon,4.25
4028305-06-21,RBA,4110390-02-10,AU3TB0000127,4029015-02-19,amount_repurchased,4379170000
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,coupon,3.25
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,amount_repurchased,400000000
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,amount_of_offers,1425000000
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,weighted_average_repurchase_yield,1.63
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,lowest_accepted_yield,1.625
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,highest_accepted_yield,1.635
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,lowest_offer,1.57
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,weighted_average_offer,1.6075701754386
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,secondary_market_mid_rate,1.6062
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,number_of_offers,19
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,number_of_successful_offers,5
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,number_of_offers_accepted_in_full,5
4038240-10-14,TBB1,4218495-10-27,AU3TB0000176,4038713-11-24,settlement_proceeds,418642400
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,coupon,5.5
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,amount_repurchased,300000000
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,amount_of_offers,1083000000
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,weighted_average_repurchase_yield,1.66866666666667
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,lowest_accepted_yield,1.665
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,highest_accepted_yield,1.675
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,lowest_offer,1.635
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,weighted_average_offer,1.65951523545706
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,secondary_market_mid_rate,1.665
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,number_of_offers,26
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,number_of_successful_offers,9
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,number_of_offers_accepted_in_full,5
4046520-03-20,TBB2,4153916-04-06,AU3TB0000093,4046993-04-29,settlement_proceeds,318349050
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,coupon,5.5
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,amount_repurchased,340000000
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,amount_of_offers,1175000000
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,weighted_average_repurchase_yield,1.69459558823529
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,lowest_accepted_yield,1.69
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,highest_accepted_yield,1.705
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,lowest_offer,1.66
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,weighted_average_offer,1.68629787234043
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,secondary_market_mid_rate,1.6875
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,number_of_offers,19
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,number_of_successful_offers,9
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,number_of_offers_accepted_in_full,7
4053143-10-06,TBB3,4153916-04-06,AU3TB0000093,4053616-11-14,settlement_proceeds,361146350
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,coupon,3.25
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,amount_repurchased,260000000
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,amount_of_offers,1326000000
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,weighted_average_repurchase_yield,1.73526923076923
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,lowest_accepted_yield,1.7325
4053143-10-06,TBB3,4218495-10-27,AU3TB0000176,4053616-11-14,highest_accepted_yield,1.7375
