bond_line,pricing_date,settlement_date,face_value_issued_m,bids_at_clearing_price_m,pricing_reference,initial_price_guidance_bp,final_spread_bp,yield_percent,curve_extension,joint_lead_managers,domestic,offshore,asia_ex_japan,europe,japan,north_america,uk,other,bank_trading,bank_balance_sheet,fund_manager,central_bank,hedge_fund,other_2,type
4.75% 21 April 2027,2011-10-20,2011-10-27,3260,3433,10yr futures,+32.5 to +35.5,+35,4.88,Yes,"Citi, Deutsche Bank, UBS
Co-Managers: ANZ, CBA, Westpac",81.3,18.7,7.4,5.8,3.3,0.5,1.7,0,38.200000000000003,12.3,29.8,9.5,2.2999999999999998,7.9,new_bond
3.25% 21 April 2029,2012-10-10,2012-10-17,3260,3925.5574999999999,10yr futures,+59.5 to +62.5,+61,3.5950000000000002,Yes,"Citi, UBS, RBC
Co-Managers: Barclays, 
Deutsche Bank, Westpac",73.3,26.7,11,3.1,5.2,1.6,5.8,0,35.799999999999997,13.9,31.1,11.4,2.2000000000000002,5.6,new_bond
3.25% 21 April 2025,2013-05-22,2013-05-29,4000,5235.6000000000004,10yr futures,+18 to +20,+19,3.47,No,"Citi, Deutsche Bank, UBS, Westpac",63.2,36.799999999999997,10.8,9.1999999999999993,0,0,15.7,1.2,29.7,26.3,23.8,14.5,2.6,3.1,new_bond
4.50% 21 April 2033,2013-11-19,2013-11-26,5900,8911.2999999999993,10yr futures,+70.5 to +75.5,+70.5,4.8599999999999994,Yes,"ANZ, Citi, UBS
Co-Managers: Deutsche Bank, 
JPM, Westpac",40.9,59.1,27.1,4.9000000000000004,0.7,0,25.6,0.8,20.7,1.5,39.6,27.7,9.6999999999999993,0.9,new_bond
4.25% 21 April 2026,2014-03-12,2014-03-19,7000,9932,10yr futures,+23 to +26,+24,4.375,No,"Citi, Deutsche Bank, UBS, Westpac",60.9,39.1,30,2.9,0.3,0.7,4.3,1.1000000000000001,24.9,12.6,25.7,16.600000000000001,18.100000000000001,2.1,new_bond
3.75% 21 April 2037,2014-10-15,2014-10-21,7000,9499.0300000000007,10yr futures,+60 to +65,+62,3.9449999999999998,Yes,"ANZ, Citi, UBS, Westpac",54.5,45.5,12.7,1,1.8,2.8,25.4,1.7,24.9,5.7,42.6,2.7,20.100000000000001,4,new_bond
2.75% 21 June 2035,2015-03-24,2015-03-31,4250,6937.45,10yr futures,+46 to +51,+48,2.8650000000000002,No,"ANZ, CBA, Deutsche Bank, UBS",71,29.1,12.4,3.1,0,0,10.6,3,21.8,16,42.5,9.3000000000000007,10.5,0,new_bond
3.25% 21 June 2039,2015-10-14,2015-10-21,4000,7963.4960000000001,10yr futures,+68 to +73,+68,3.3450000000000002,Yes,"CBA, Deutsche Bank, UBS, Westpac",68.5,31.5,14.3,3.8,3.5,1.7,8,0.4,13.4,14.9,46.4,9.6,11,4.8,new_bond
2.75% 21 November 2027,2016-01-20,2016-01-28,4600,8547.32,10yr futures,+13.5 to +17.5,+16,2.8649999999999998,No,"ANZ, Citi, UBS, Westpac",73.3,26.7,10.3,2.5,0.4,7.6,5.4,0.6,30.1,17.399999999999999,31,2.9,18.3,0.4,new_bond
2.25% 21 May 2028,2016-05-11,2016-05-19,7000,10612.1,10yr futures,+17.5 to +22.5,+20,2.5250000000000004,No,"Citi, CBA, Deutsche Bank, UBS",70.099999999999994,29.9,9.3000000000000007,3.4,0.5,5.6,8.1,3,30.2,13.6,32,8,14.5,1.8,new_bond
3.00% 21 March 2047,2016-10-12,2016-10-19,7600,13772.99,10yr futures,+100 to +107,+101,3.27,Yes,"ANZ, Citi, CBA, Deutsche Bank, 
UBS, Westpac",34.799999999999997,65.2,5.4,10,6.2,19.399999999999999,22.9,1.2,13.2,2.8,69.099999999999994,1.8,10.1,3.1,new_bond
2.00% 21 December 2021,2017-01-18,2017-01-27,9300,15295.3,3yr futures,+22 to +25,+23,2.2399999999999998,No,"ANZ, Citi, UBS, Westpac",69.3,30.7,12.6,5.8,1.4,3.2,5.5,2.2000000000000002,40.4,13.8,27.6,3.8,12.4,2.1,new_bond
2.75% 21 November 2028,2017-02-22,2017-03-02,11000,20881.73,10yr futures,+13.5 to +16.5,+14,3.0049999999999999,No,"ANZ, CBA, Deutsche Bank, Westpac",84.5,15.5,9.1999999999999993,3.8,0,0.4,1.7,0.5,25.3,35.5,28.9,5,5.4,0,new_bond
2.75% 21 November 2029,2018-01-17,2018-01-25,9600,21176.7,10yr futures,+7 to +10,+7,2.86,No,"CBA, Citi, Deutsche Bank, UBS",68,32,11.6,5.8,0,8,5.9,0.6,26.1,34.9,16.600000000000001,7.7,14.5,0.3,new_bond
2.75% 21 May 2041,2018-07-17,2018-07-27,3600,7660.3,10yr futures,+39.5 to +44.5,+42,3.09,No,"CBA, TD, UBS, Westpac",54.8,45.2,15.3,5.0999999999999996,0,11.3,13.3,0.2,27.3,0.8,45.2,6.5,18.8,1.4,new_bond
0.25% 21 November 2024,2020-04-15,2020-04-21,13000,25831.098999999998,3yr futures,+16 to +20,+19,0.47,No,"ANZ, Deutsche Bank, UBS, Westpac",68.099999999999994,31.9,17.600000000000001,1.9,0.2,5.0999999999999996,7.2,0,31.5,20.6,25.3,5.4,17.3,0,new_bond
1.00% 21 December 2030,2020-05-13,2020-05-21,19000,53446,10yr futures,+7 to +10,+8,1.0249999999999999,No,"ANZ, CBA, Citi, UBS",53.9,46.2,19.100000000000001,4,0.4,12.8,9.9,0.1,23.1,15,36.5,2.7,19.5,3.2,new_bond
0.25% 21 November 2025,2020-07-14,2020-07-24,17000,50680,3yr futures,+17 to +20,+18.5,0.495,No,"BofA, JPM, UBS, Westpac",54.8,45.2,28.1,2.4,0.7,4,10,0.1,24.8,17.2,27.4,8,22.7,0,new_bond
1.75% 21 June 2051,2020-07-28,2020-08-05,15000,36834.910000000003,10yr futures,+98 to +105,+98,1.94,Yes,"ANZ, CBA, Deutsche Bank, JPM, UBS",33.1,66.900000000000006,12.7,9,3.1,17.600000000000001,22.9,1.7,11,3.1,68.7,0,13.5,3.7,new_bond
1.00% 21 November 2031,2020-08-26,2020-09-02,21000,66068,10yr futures,+8 to +11,+9,1.0549999999999999,No,"CBA, Citi, UBS, Westpac",53.7,46.3,22.7,3.5,0.7,9.3000000000000007,9.9,0.1,21.8,19.3,30.7,5.6,19.7,2.8,new_bond
