date_held,tender_number,maturity,isin,date_settled,name,value
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,coupon,15
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,amount_offered,150000000
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,amount_allotted,150000000
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,amount_of_bids,521950000
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,coverage_ratio,3.52
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,weighted_average_issue_yield,15.311
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,lowest_accepted_yield,15.24
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,highest_accepted_yield,15.34
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,highest_bid_yield,16.29
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,weighted_average_bid,15.4658
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,number_of_bids,170
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,number_of_successful_bids,21
1982-09-17,TB2,1992-03-16,AU0000XCLQA2,1982-09-22,number_of_bids_accepted_in_full,17
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,coupon,13.5
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,amount_offered,100000000
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,amount_allotted,100000000
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,amount_of_bids,242600000
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,coverage_ratio,2.43
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,weighted_average_issue_yield,13.59
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,lowest_accepted_yield,13.4
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,highest_accepted_yield,13.65
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,highest_bid_yield,14.95
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,weighted_average_bid,13.6839
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,number_of_bids,73
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,number_of_successful_bids,35
1982-10-15,TB3,1994-10-16,AU0000XCLQD6,1982-10-20,number_of_bids_accepted_in_full,31
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,coupon,13.5
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,amount_offered,75000000
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,amount_allotted,125000000
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,amount_of_bids,90300000
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,coverage_ratio,1.21
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,weighted_average_issue_yield,14.404
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,lowest_accepted_yield,13.69
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,highest_accepted_yield,15
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,highest_bid_yield,16.5
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,weighted_average_bid,14.6476
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,number_of_bids,60
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,number_of_successful_bids,57
1982-11-26,TB4,1995-06-16,AU0000XCLJB5,1982-12-01,number_of_bids_accepted_in_full,55
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,coupon,12.5
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,amount_offered,200000000
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,amount_allotted,200000000
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,amount_of_bids,460350000
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,coverage_ratio,2.32
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,weighted_average_issue_yield,13.234
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,lowest_accepted_yield,12.5
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,highest_accepted_yield,13.39
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,highest_bid_yield,14.74
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,weighted_average_bid,13.4464
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,number_of_bids,263
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,number_of_successful_bids,90
1983-01-14,TB5,1992-07-16,AU0000XCLQG9,1983-01-19,number_of_bids_accepted_in_full,81
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,coupon,12.5
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,amount_offered,100000000
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,amount_allotted,100000000
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,amount_of_bids,312700000
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,coverage_ratio,3.13
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,weighted_average_issue_yield,13.567
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,lowest_accepted_yield,12.7
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,highest_accepted_yield,13.79
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,highest_bid_yield,14.98
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,weighted_average_bid,13.8588
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,number_of_bids,210
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,number_of_successful_bids,65
1983-01-14,TB5,1996-07-16,AU0000XCLQH7,1983-01-19,number_of_bids_accepted_in_full,62
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,coupon,13.5
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,amount_offered,50000000
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,amount_allotted,50000000
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,amount_of_bids,239612000
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,coverage_ratio,4.8
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,weighted_average_issue_yield,14.026
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,lowest_accepted_yield,13.97
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,highest_accepted_yield,14.07
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,highest_bid_yield,15.98
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,weighted_average_bid,14.4332
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,number_of_bids,100
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,number_of_successful_bids,8
1983-04-19,TB6,1994-10-16,AU0000XCLQD6,1983-04-22,number_of_bids_accepted_in_full,7
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,coupon,12
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,amount_offered,100000000
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,amount_allotted,100000000
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,amount_of_bids,161900000
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,coverage_ratio,1.62
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,weighted_average_issue_yield,14.803
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,lowest_accepted_yield,14.29
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,highest_accepted_yield,15.15
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,highest_bid_yield,17
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,weighted_average_bid,15.247
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,number_of_bids,67
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,number_of_successful_bids,54
1983-05-27,TB7,1996-12-16,AU0000XCLQN5,1983-06-01,number_of_bids_accepted_in_full,53
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,coupon,13.5
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,amount_offered,50000000
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,amount_allotted,50000000
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,amount_of_bids,97000000
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,coverage_ratio,1.94
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,weighted_average_issue_yield,15.796
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,lowest_accepted_yield,15.3
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,highest_accepted_yield,16.2
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,highest_bid_yield,17.13
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,weighted_average_bid,16.1194
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,number_of_bids,62
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,number_of_successful_bids,38
1983-07-06,TB8,1995-06-16,AU0000XCLJB5,1983-07-09,number_of_bids_accepted_in_full,35
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,coupon,14
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,amount_offered,150000000
1983-08-31,TB9,1995-03-16,AU0000XCLQR6,1983-09-03,amount_allotted,150000000
