date_held,tender_number,maturity,isin,date_settled,name,value
1985-07-31,INDEXTENDER1,2005-08-21,AU0000XCLSO9,1985-08-03,coupon,4
1985-07-31,INDEXTENDER1,2005-08-21,AU0000XCLSO9,1985-08-03,amount_allotted,50200000
1985-07-31,INDEXTENDER1,2005-08-21,AU0000XCLSO9,1985-08-03,weighted_average_issue_yield,4.487
1985-07-31,INDEXTENDER1,2005-08-21,AU0000XCLSO9,1985-08-03,lowest_accepted_yield,4.22
1985-07-31,INDEXTENDER1,2005-08-21,AU0000XCLSO9,1985-08-03,highest_accepted_yield,4.9
1985-08-22,INDEXTAP1,2005-08-21,AU0000XCLSO9,1985-08-27,coupon,4
1985-08-22,INDEXTAP1,2005-08-21,AU0000XCLSO9,1985-08-27,amount_allotted,200000
1985-08-22,INDEXTAP1,2005-08-21,AU0000XCLSO9,1985-08-27,weighted_average_issue_yield,4.25
1985-11-05,INDEXTENDER2,2005-08-21,AU0000XCLSO9,1985-11-08,coupon,4
1985-11-05,INDEXTENDER2,2005-08-21,AU0000XCLSO9,1985-11-08,amount_allotted,50100000
1985-11-05,INDEXTENDER2,2005-08-21,AU0000XCLSO9,1985-11-08,weighted_average_issue_yield,4.972
1985-11-05,INDEXTENDER2,2005-08-21,AU0000XCLSO9,1985-11-08,lowest_accepted_yield,4.88
1985-11-05,INDEXTENDER2,2005-08-21,AU0000XCLSO9,1985-11-08,highest_accepted_yield,4.98
1985-11-05,INDEXTENDER2,2005-08-21,AU0000XCLSO9,1985-11-08,settlement_proceeds,44713937
1985-11-08,INDEXTAP2,2005-08-21,AU0000XCLSO9,1985-11-13,coupon,4
1985-11-08,INDEXTAP2,2005-08-21,AU0000XCLSO9,1985-11-13,amount_allotted,100000
1985-11-08,INDEXTAP2,2005-08-21,AU0000XCLSO9,1985-11-13,weighted_average_issue_yield,4.75
1986-02-05,INDEXTENDER3,2005-08-21,AU0000XCLSO9,1986-02-08,coupon,4
1986-02-05,INDEXTENDER3,2005-08-21,AU0000XCLSO9,1986-02-08,amount_allotted,50100000
