date_held,tender_number,maturity,isin,date_settled,name,value
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,amount_offered,300000000
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,amount_allotted,300000000
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,amount_of_bids,2154000000
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,coverage_ratio,7.2
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,weighted_average_issue_yield,3.184
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,lowest_accepted_yield,3.14
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,highest_accepted_yield,3.19
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,highest_bid_yield,3.37
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,weighted_average_bid,3.2749
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,number_of_bids,14
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,number_of_successful_bids,4
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,number_of_bids_accepted_in_full,3
5/3/2009,1-Sep,17/4/2009,AU2CLTN17046,6/3/2009,settlement_proceeds,298904695
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,amount_offered,500000000
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,amount_allotted,500000000
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,amount_of_bids,4463000000
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,coverage_ratio,8.9
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,weighted_average_issue_yield,3.061
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,lowest_accepted_yield,2.85
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,highest_accepted_yield,3.12
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,highest_bid_yield,3.37
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,weighted_average_bid,3.2207
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,number_of_bids,45
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,number_of_successful_bids,14
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,number_of_bids_accepted_in_full,7
5/3/2009,1-Sep,5/6/2009,AU2CLTN05066,6/3/2009,settlement_proceeds,496213038
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,amount_offered,300000000
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,amount_allotted,300000000
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,amount_of_bids,2866000000
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,coverage_ratio,9.6
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,weighted_average_issue_yield,2.924
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,lowest_accepted_yield,2.62
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,highest_accepted_yield,2.97
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,highest_bid_yield,3.17
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,weighted_average_bid,3.0606
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,number_of_bids,37
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,number_of_successful_bids,10
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,number_of_bids_accepted_in_full,9
5/3/2009,1-Sep,4/9/2009,AU2CLTN04093,6/3/2009,settlement_proceeds,295689151
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,amount_offered,600000000
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,amount_allotted,600000000
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,amount_of_bids,4850000000
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,coverage_ratio,8.1
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,weighted_average_issue_yield,2.7708
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,lowest_accepted_yield,2.76
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,highest_accepted_yield,2.81
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,highest_bid_yield,3.11
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,weighted_average_bid,2.9314
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,number_of_bids,46
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,number_of_successful_bids,4
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,number_of_bids_accepted_in_full,3
12/3/2009,2-Sep,12/6/2009,AU2CLTN12062,13/3/2009,settlement_proceeds,595883575
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,amount_offered,500000000
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,amount_allotted,500000000
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,amount_of_bids,4566000000
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,coverage_ratio,9.1
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,weighted_average_issue_yield,2.6765
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,lowest_accepted_yield,2.6
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,highest_accepted_yield,2.71
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,highest_bid_yield,2.97
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,weighted_average_bid,2.8235
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,number_of_bids,42
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,number_of_successful_bids,10
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,number_of_bids_accepted_in_full,7
12/3/2009,2-Sep,11/9/2009,AU2CLTN11098,13/3/2009,settlement_proceeds,493415021
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,amount_offered,300000000
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,amount_allotted,300000000
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,amount_of_bids,2624000000
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,coverage_ratio,8.8
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,weighted_average_issue_yield,2.6643
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,lowest_accepted_yield,2.61
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,highest_accepted_yield,2.71
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,highest_bid_yield,2.95
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,weighted_average_bid,2.8262
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,number_of_bids,27
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,number_of_successful_bids,6
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,number_of_bids_accepted_in_full,4
19/3/2009,3-Sep,19/6/2009,AU2CLTN19067,20/3/2009,settlement_proceeds,298020376
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,amount_offered,300000000
19/3/2009,3-Sep,18/9/2009,AU2CLTN18093,20/3/2009,amount_allotted,300000000
